Pos,Nome,Pais,Swim,Bike,Run,Total
1,DANIELA RYF,CHE,00:56:14,04:50:46,03:06:37,08:57:57
2,RACHEL JOYCE,GBR,00:56:11,05:01:29,03:08:42,09:10:59
3,LIZ BLATCHFORD,AUS,00:56:13,05:07:25,03:06:25,09:14:52
4,MICHELLE VESTERBY,DNK,00:56:11,05:00:41,03:17:14,09:18:50
5,HEATHER JACKSON,USA,01:04:36,05:04:43,03:07:53,09:21:45
6,SUSIE CHEETHAM,GBR,00:57:39,05:14:33,03:06:55,09:23:50
7,SARAH PIAMPIANO,USA,01:10:01,05:02:28,03:06:33,09:24:32
8,CAMILLA PEDERSEN,DNK,00:56:14,04:59:17,03:25:23,09:25:41
9,CAROLINE STEFFEN,CHE,00:56:16,05:10:53,03:15:27,09:27:54
10,LUCY GOSSAGE,GBR,01:05:08,05:02:40,03:15:51,09:28:36
11,ASA LUNDSTROM,SWE,01:05:18,05:04:37,03:16:05,09:30:43
12,ANNABEL LUXFORD,AUS,00:56:08,05:04:00,03:27:50,09:32:43
13,MARY BETH ELLIS,USA,00:56:16,04:59:29,03:33:37,09:33:34
14,LIZ LYLES,USA,01:00:04,05:16:12,03:14:06,09:35:07
15,BETH MCKENZIE,USA,01:05:18,05:11:45,03:16:49,09:39:14
16,EVA WUTTI,AUT,01:05:22,05:22:38,03:10:18,09:43:25
17,BRITTA MARTIN,NZL,01:05:20,05:18:07,03:18:51,09:47:31
18,KELLY WILLIAMSON,USA,00:59:54,05:35:52,03:10:12,09:51:01
19,CAITLIN SNOW,USA,01:01:16,05:28:06,03:24:44,10:00:15
20,DIMITY-LEE DUKE,AUS,01:05:22,05:24:04,03:27:44,10:02:57
21,MAREEN HUFE,DEU,01:05:12,04:59:15,03:55:52,10:05:01
22,DEDE GRIESBAUER,USA,00:56:39,05:11:08,03:56:34,10:09:49
23,RUTH BRENNAN MORREY,USA,01:16:52,05:19:24,03:39:57,10:22:57
24,LAUREL WASSNER,USA,00:57:42,05:36:59,03:51:30,10:33:49
25,ARIANE MONTICELI,BRA,01:05:12,05:15:19,05:16:01,11:41:53
26,MEREDITH KESSLER,USA,00:56:13,05:37:39,05:44:57,12:26:22
