Pos,Nome,Pais,Swim,Bike,Run,Total
1,JAN FRODENO,DEU,00:50:50,04:27:27,02:52:21,08:14:40
2,ANDREAS RAELERT,DEU,00:52:24,04:30:52,02:50:02,08:17:43
3,TIMOTHY O'DONNELL,USA,00:52:24,04:26:13,02:55:46,08:18:50
4,ANDY POTTS,USA,00:50:56,04:32:41,02:53:45,08:21:25
5,TYLER BUTTERFIELD,BMU,00:52:33,04:29:35,02:56:19,08:23:09
6,CYRIL VIENNOT,FRA,00:52:35,04:34:27,02:53:05,08:25:05
7,ENEKO LLANOS,ESP,00:52:36,04:26:56,03:04:10,08:28:10
8,SEBASTIAN KIENLE,DEU,00:52:36,04:25:53,03:06:08,08:29:43
9,BRENT MCMAHON,CAN,00:52:26,04:27:51,03:06:02,08:30:13
10,BORIS STEIN,DEU,00:57:27,04:30:48,02:58:48,08:31:43
11,DAVID MCNAMEE,GBR,00:52:31,04:45:49,02:49:52,08:32:27
12,IVAN RANA,ESP,00:52:25,04:45:42,02:51:56,08:34:27
13,JOE SKIPPER,GBR,00:57:31,04:28:34,03:04:09,08:36:02
14,LIONEL SANDERS,CAN,01:01:10,04:35:17,02:54:41,08:36:26
15,TIM DON,GBR,00:52:23,04:38:36,03:01:51,08:39:05
16,MICHAEL WEISS,AUT,01:01:13,04:28:34,03:09:19,08:44:30
17,MIQUEL BLANCHART TINTO,ESP,00:52:43,04:53:46,02:54:28,08:45:21
18,PEDRO GOMES,PRT,00:56:37,04:47:55,02:57:19,08:46:14
19,ROMAIN GUILLAUME,FRA,00:52:21,04:31:12,03:18:19,08:46:56
20,ANDI BOECHERER,DEU,00:52:39,04:27:58,03:22:36,08:49:20
21,JORDAN RAPP,USA,00:57:00,04:39:22,03:08:35,08:50:21
22,MAIK TWELSIEK,DEU,00:57:01,04:25:10,03:25:15,08:52:11
23,JEFF SYMONDS,CAN,00:52:41,05:04:05,02:50:15,08:52:18
24,FREDRIK CRONEBORG,SWE,00:56:44,04:45:16,03:11:25,08:58:46
25,FREDERIK VAN LIERDE,BEL,00:52:28,04:27:18,03:39:03,09:03:25
26,GUILHERME MANOCCHIO,BRA,00:56:47,04:47:15,03:14:55,09:04:19
27,BEN HOFFMAN,USA,00:52:29,04:28:51,03:39:33,09:05:22
28,JUSTIN DAERR,USA,00:56:55,04:52:17,03:19:30,09:13:58
29,NILS FROMMHOLD,DEU,00:52:20,04:42:06,03:37:08,09:16:44
30,KYLE BUCKINGHAM,ZAF,00:56:40,04:47:52,03:36:27,09:26:16
