Pos,Nome,Pais,Swim,Bike,Run,Total
1,SUE HUSE,CAN,00:26:56,02:23:06,01:24:51,04:19:35
2,LAUREN BRANDON,USA,00:19:50,02:20:38,01:36:43,04:20:51
3,ELLIE SALTHOUSE,AUS,00:20:58,02:24:56,01:30:20,04:23:00
4,SARAH CAMETO,USA,00:22:04,02:20:54,01:37:22,04:25:27
5,CELINE SCHAERER,SWZ,00:20:58,02:31:25,01:33:33,04:30:03
6,ANNETT FINGER,DEU,00:24:45,02:27:41,01:34:07,04:30:31
7,EWA KOMANDER,POL,00:23:22,02:25:52,01:37:55,04:31:02
8,HAYLEY BENSON,USA,00:24:42,02:30:44,01:31:21,04:31:20
9,PALMIRA ALVAREZ,MEX,00:28:01,02:27:48,01:36:37,04:36:18
10,CHRISTEN BROWN,USA,00:22:05,02:26:30,01:45:26,04:38:16
11,EMMA-KATE LIDBURY,GBR,00:22:02,02:23:55,01:50:01,04:39:55
12,NATASCHA MENDEZ,DOM,00:25:17,02:37:25,01:37:38,04:44:31
13,MICHELLE HARBURG,USA,00:25:34,02:43:12,02:26:47,05:44:06
