Pos,Nome,Categ,Swim,Bike,Run,Total
23,ANTONIO FERREIRA DA SILVA NETO,35-39,00:53:33,05:03:40,03:19:17,09:22:07
24,CESAR DALQUANO,35-39,00:57:13,05:07:22,03:10:52,09:22:11
29,FRANCISCO SARTORE MENDES PEREZ,35-39,00:59:49,04:57:25,03:18:21,09:26:21
31,JOSE LOZANO,35-39,00:54:23,05:08:44,03:15:56,09:27:22
16,RANGEL RODRIGUES,40-44,01:04:43,05:06:33,03:08:33,09:27:33
27,ALEXANDRE TAKENAKA,30-34,00:53:50,05:08:09,03:17:49,09:29:07
32,SAMUEL SILVA,30-34,01:02:02,05:22:25,03:00:23,09:30:13
24,IVAN ROBERTO DE CAMPOS ALBANO JR,40-44,00:57:58,05:00:44,03:26:56,09:33:32
26,JOSE GRACA,40-44,00:57:47,05:05:49,03:22:53,09:33:53
11,PEDRO LUIZ CERIZE,45-49,01:02:03,05:01:48,03:20:17,09:33:59
44,MARCELINO DE MIRANDA,35-39,00:55:53,05:08:36,03:22:32,09:35:07
45,MARCIO VERISSIMO,30-34,01:01:54,04:51:21,03:36:50,09:36:48
46,PETER PICHNOFF,30-34,00:55:14,05:01:36,03:34:06,09:37:30
51,KENNY DE SOUSA ALVAS,35-39,00:57:59,05:07:45,03:23:42,09:38:36
53,DANIEL BELLUZI BIAZOTO,35-39,00:54:28,05:08:40,03:29:27,09:39:10
56,SANDRO DE FELIPPE OTTOBONI,35-39,00:56:52,05:20:07,03:16:00,09:40:10
32,BRUNO MANZONI,25-29,01:05:08,05:05:57,03:22:11,09:40:47
36,GUSTAVO ARAUJO SANTOS,25-29,00:53:07,05:12:25,03:31:16,09:44:03
63,LEANDRO LEAO GUERRIERE,30-34,00:57:00,05:09:04,03:30:03,09:44:31
6,ANDRE LOPES,18-24,00:54:12,05:07:47,03:36:40,09:44:36
41,HUGO AMARAL HORTA BARBOSA,25-29,00:53:03,05:15:34,03:31:14,09:47:04
70,BONIECK CLEMENTE,30-34,00:53:37,05:17:06,03:28:23,09:47:21
74,RODRIGO LOBO,30-34,00:53:36,05:18:36,03:28:27,09:49:29
79,FILIPE ALBUQUERQUE ARAGAO,30-34,01:05:16,05:12:45,03:24:20,09:50:35
97,MARCEL MONTEIRO MOROSINI,30-34,01:06:17,05:14:57,03:28:23,09:57:52
55,RODRIGO BODANESE,25-29,00:57:48,05:09:32,03:44:12,09:58:53
106,CASSIO EDUARDO ROCHA MARTINS,35-39,01:00:14,05:23:04,03:27:31,10:00:51
66,FABIANO PAES,40-44,01:10:44,05:17:27,03:25:27,10:01:07
17,LUIZ RENATO TOPAN,50-54,00:50:26,05:21:40,03:49:51,10:07:08
120,PATRICK SIMON,35-39,01:00:44,05:25:09,03:33:49,10:07:54
Pos,Nome,Categ,Swim,Bike,Run,Total
30,ARIANE MONTICELI,PRO,01:04:32,05:25:20,03:33:04,10:09:15
19,KARLO KOWALCZUCK,50-54,01:06:41,05:18:29,03:32:59,10:11:26
127,EDUARDO MALUCELLI,35-39,01:11:17,05:34:55,03:15:46,10:11:46
130,LEANDRO BATISTA REIS,35-39,01:02:40,05:30:22,03:31:42,10:14:30
