Pos,Nome,Categ,Swim,Bike,Run,Total
1,REINALDO COLUCCI,PRO,00:23:38,02:10:09,01:18:35,03:55:12
2,PAULO ROBERTO MACIEL DA SILVA,PRO,00:23:35,02:11:50,01:18:42,03:57:06
3,LUIZ FRANCISCO PAIVA FERREIRA,PRO,00:23:37,02:11:10,01:20:56,03:58:41
4,IURI VINUTO JOSINO,PRO,00:24:53,02:14:50,01:16:45,03:59:17
5,FELLIPE SANTOS,PRO,00:24:47,02:12:12,01:19:34,03:59:35
7,LUIS OHDE,PRO,00:24:56,02:17:01,01:18:45,04:03:40
8,GUILHERME MANOCCHIO,PRO,00:25:00,02:19:57,01:19:01,04:07:22
9,FLÁVIO QUEIROGA,PRO,00:24:48,02:14:51,01:26:41,04:09:17
10,BRUNO MATHEUS,PRO,00:24:58,02:26:30,01:16:45,04:10:56
11,HENRIQUE SIQUEIRA,PRO,00:24:51,02:12:23,01:36:34,04:16:49
1,RODRIGO LOBO,30-34,00:27:03,02:26:45,01:21:50,04:17:19
12,ALMIR GUSTAVO SORBO MARTINS,PRO,00:23:15,02:16:22,01:35:50,04:18:38
14,FELIPE MANENTE,PRO,00:28:07,02:23:22,01:27:08,04:20:18
1,RAFAEL SILVA,35-39,00:28:26,02:27:34,01:23:45,04:21:05
2,LUCAS PRETTO,30-34,00:27:12,02:26:08,01:26:46,04:24:15
15,DANILO MELO,PRO,00:34:30,02:24:56,01:21:19,04:24:28
3,RAFAEL SOUZA,30-34,00:28:12,02:23:47,01:29:28,04:24:40
1,LUÍSA BAPTISTA,PRO,00:27:40,02:31:36,01:27:17,04:29:40
2,TIAGO LESSA,35-39,00:32:38,02:26:57,01:29:16,04:30:03
4,GUILHERME PALMA,30-34,00:29:46,02:32:48,01:25:32,04:30:56
1,LUIZ CATTAPRETA,40-44,00:26:48,02:27:45,01:32:46,04:31:21
16,ALAN LIMA,PRO,00:30:46,02:29:11,01:28:25,04:32:02
5,GIL CASTELLO BRANCO,30-34,00:30:58,02:30:07,01:30:57,04:33:57
17,GUSTAVO PERREIRA,PRO,00:28:05,02:24:21,01:37:48,04:33:59
6,GABRIEL NOGUEIRA,30-34,00:29:17,02:30:50,01:31:28,04:34:53
3,CAROLINA FURRIELA,PRO,00:27:40,02:35:55,01:27:42,04:35:00
1,RENATO CARVALHO,45-49,00:29:25,02:29:58,01:30:07,04:35:17
7,ARTHUR BORELLI,30-34,00:29:19,02:38:28,01:26:35,04:35:24
8,DANIEL CUNHA,30-34,00:32:43,02:31:21,01:27:31,04:35:26
4,ARIANE MONTICELI,PRO,00:30:53,02:32:40,01:30:43,04:35:41
Pos,Nome,Categ,Swim,Bike,Run,Total
9,GENESIO FERREIRA,30-34,00:32:38,02:32:29,01:30:03,04:36:54
10,BRUNO ZOUAIN GONÇALVES,30-34,00:30:20,02:29:12,01:36:39,04:37:18
3,CRISTIAN PEREIRA CRUZ,35-39,00:33:30,02:31:43,01:26:44,04:37:59
5,LUIZA CRAVO,PRO,00:30:50,02:31:00,01:33:18,04:39:05
4,FABIANO SANTOS,35-39,00:26:49,02:33:13,01:37:17,04:39:19
2,LUCIANO GOMES,40-44,00:35:26,02:30:42,01:32:19,04:39:21
3,HENRIQUE WERNECK PEREIRA DO ESPIRITO SANTO,40-44,00:32:38,02:33:11,01:32:21,04:39:27
2,LUCAS ROCHA,25-29,00:28:30,02:34:52,01:32:46,04:40:08
4,LUIZ CLAUDIO COELHO CARVA CARVALHO,40-44,00:27:38,02:43:15,01:27:34,04:40:21
11,LEANDRO MUDINHO,30-34,00:25:09,02:28:42,01:42:44,04:40:47
5,DANIEL BARTELLE,40-44,00:33:17,02:27:39,01:35:05,04:40:52
5,PAULO HENRIQUE MANZINI,35-39,00:35:26,02:23:09,01:36:29,04:41:01
6,LISANDRO JACOBUS,40-44,00:34:50,02:25:52,01:35:59,04:41:03
3,ASTERIO A STOLF,25-29,00:33:17,02:30:03,01:33:39,04:41:39
4,LUCAS TOLEDO,25-29,00:33:03,02:33:21,01:34:44,04:42:22
5,RICARDO FREITAS SOARES,25-29,00:29:44,02:33:19,01:33:28,04:42:25
6,JONE COSTA,35-39,00:31:08,02:30:20,01:35:57,04:42:40
7,ALAN SIQUEIRA,35-39,00:27:11,02:33:07,01:40:41,04:42:48
12,BRENER BELOZI,30-34,00:30:50,02:35:06,01:35:56,04:42:50
2,RALPH PORTO,45-49,00:33:05,02:33:48,01:30:45,04:43:16
13,LEONARDO BRAZ,30-34,00:29:48,02:36:46,01:33:40,04:45:02
7,ANNDRIO COUTO,25-29,00:35:02,02:31:28,01:38:07,04:46:01
9,ROBERTO NITRINI,40-44,00:29:32,02:32:52,01:38:19,04:46:25
2,MARCIO FERREIRA,50-54,00:31:42,02:33:36,01:39:34,04:46:43
9,ARNOLDO WALD,25-29,00:31:51,02:32:44,01:37:48,04:47:18
14,RODRIGO LACERDA ALVES,30-34,00:30:21,02:36:58,01:34:27,04:47:29
15,TIAGO ROSSI,30-34,00:29:22,02:39:01,01:33:31,04:48:00
17,LEONARDO DE OLIVEIRA LOPES,30-34,00:28:51,02:29:58,01:44:59,04:48:42
10,EDUARDO BARROS MARIUTTI,40-44,00:30:27,02:29:53,01:42:11,04:49:00
18,CARLOS BERTONI,30-34,00:32:55,02:31:50,01:37:26,04:49:03
Pos,Nome,Categ,Swim,Bike,Run,Total
8,JOAO RESENDE,35-39,00:35:31,02:36:43,01:35:12,04:49:18
1,WILLIAM GRACA,18-24,00:33:00,02:28:43,01:43:22,04:49:51
9,FABIO FANTOZZI,35-39,00:32:22,02:30:06,01:41:26,04:50:03
10,DANIEL GASPARY,35-39,00:27:19,02:37:38,01:42:49,04:50:20
19,RAFAEL RIBEIRO VINHAL,30-34,00:29:16,02:36:47,01:40:03,04:50:30
11,ANDERSON FERREIRA,35-39,00:28:46,02:40:21,01:36:56,04:50:33
12,FABRICIO RODRIGUES DA CUNHA RANIERO,35-39,00:29:08,02:35:31,01:39:06,04:50:49
20,RENATO CAVALCANTI,30-34,00:34:15,02:30:19,01:41:24,04:50:54
21,BRUNO BAHRI,30-34,00:30:37,02:34:02,01:41:07,04:50:58
10,LUCAS CAMPOS DE SANTANA,25-29,00:31:36,02:30:24,01:44:03,04:51:02
22,DAVID ALVES DE ARAUJO,30-34,00:32:49,02:34:14,01:36:44,04:51:05
14,ARTHUR RUFFATO,35-39,00:34:13,02:32:01,01:35:23,04:51:17
7,MARIANA BORGES DE ANDRADE,PRO,00:30:48,02:37:30,01:40:17,04:51:37
15,HENRIQUE PINEDA,35-39,00:32:16,02:34:51,01:39:00,04:51:41
5,WANDER GLOVINSKY,45-49,00:28:25,02:31:20,01:46:34,04:51:57
16,ALEXANDRE FERREIRA,35-39,00:34:33,02:31:25,01:37:41,04:52:18
17,GUSTAVO EVANGELISTA,35-39,00:35:05,02:43:58,01:30:38,04:52:24
18,JOSE RICARDO RUELA RODRIGUES,35-39,00:33:33,02:37:22,01:39:51,04:52:25
19,DANIEL KAKO,35-39,00:32:23,02:33:33,01:40:53,04:53:02
3,ALEXANDRE CAMPOS,50-54,00:32:10,02:41:22,01:37:32,04:53:04
