Pos,Nome,Pais,Swim,Bike,Run,Total
1,JAMES CUNNAMA,ZAF,00:22:53,02:06:31,01:14:02,03:47:07
2,EMILIO AGUAYO MUÑOZ,ESP,00:22:31,02:07:41,01:15:57,03:50:20
3,KENNETH VANDENDRIESSCHE,BEL,00:25:58,02:09:51,01:17:35,03:57:15
4,THOMAS STRANGE HANSEN,DNK,00:22:41,02:14:36,01:19:14,04:00:15
5,ALBERT MORENO MOLINS,ESP,00:24:41,02:17:16,01:14:33,04:00:31
6,MARTIJN DEKKER,NLD,00:22:34,02:16:25,01:19:24,04:02:20
7,RUEDI WILD,CHE,00:22:43,02:17:21,01:20:01,04:04:13
8,RICARDO HERNÁNDEZ MARRERO,ESP,00:22:38,02:19:27,01:19:17,04:05:21
9,COLIN NORRIS,GBR,00:24:25,02:20:34,01:16:00,04:05:27
10,BERTRAND BILLARD,FRA,00:22:55,02:19:21,01:20:31,04:06:59
11,NICHOLAS WARD MUÑOZ,GBR,00:26:01,02:18:20,01:19:15,04:07:40
12,GONZALO DAVID OROZCO BERNAL,ESP,00:27:18,02:20:26,01:24:41,04:16:43
13,SEBASTIEN JOUFFRET,FRA,00:28:06,02:24:28,01:27:43,04:24:41
