Pos,Nome,Pais,Swim,Bike,Run,Total
1,ANDI BOECHERER,DEU,00:47:52,04:18:31,02:48:43,08:01:50
2,MICHAEL RUENZ,DEU,00:52:38,04:29:04,02:49:53,08:18:10
3,JULIAN MUTTERER,DEU,00:50:11,04:32:59,02:53:49,08:23:38
4,LUKASZ WOJT,DEU,00:45:29,04:24:05,03:09:29,08:25:55
5,REECE BARCLAY,GBR,00:47:59,04:37:59,03:00:46,08:33:17
6,ZOLTÁN PETSUK,HUN,00:48:06,04:45:18,02:56:43,08:36:41
7,DOMENICO PASSUELLO,ITA,00:57:42,04:33:33,02:59:42,08:38:33
8,MATTIA CECCARELLI,ITA,00:47:47,04:34:15,03:11:50,08:40:42
9,MORTEN BANKE,DNK,00:57:45,04:34:30,03:03:28,08:43:11
10,ALBERTO CASADEI,ITA,00:47:53,04:44:40,03:03:39,08:43:13
11,FELIX HENTSCHEL,DEU,00:55:02,04:37:33,03:05:33,08:45:20
12,VICTOR ARROYO BUGALLO,ESP,00:57:45,04:52:31,02:55:45,08:52:43
13,URS MÜLLER,CHE,00:52:34,04:51:05,03:08:14,08:58:53
14,ANTON BLOKHIN,BLR,00:50:11,04:45:29,03:22:28,09:05:15
15,MACIEJ CHMURA,POL,00:50:11,04:34:29,03:35:10,09:06:35
16,CHARLES BOUIN,FRA,01:00:08,04:50:11,03:18:16,09:16:25
17,ERIK HOLMBERG,SWE,00:52:38,04:43:33,03:35:38,09:18:49
18,ARTEM PARIENKO,RUS,00:52:35,04:45:05,03:35:35,09:20:49
19,PHILIPP FAHRENHOLZ,DEU,00:57:45,04:46:55,03:29:39,09:21:37
20,JONATHAN CIAVATTELLA,ITA,00:48:04,04:39:21,04:00:28,09:35:40
21,MARCUS HULTGREN,SWE,00:57:44,04:43:11,03:53:25,09:42:04
22,MIKE SCHIFFERLE,CHE,01:07:02,04:50:50,03:44:56,09:56:18
23,MICHAL IVANCO,SVK,01:20:47,05:11:38,04:08:07,10:51:04
24,SEBASTIAN GAUGL,AUT,01:01:49,04:59:03,04:53:51,11:07:42
