Pos,Nome,Pais,Swim,Bike,Run,Total
1,TIMOTHY O'DONNELL,USA,00:20:26,02:04:35,01:13:28,03:42:07
2,JACKSON LAUNDRY,CAN,00:21:18,02:03:40,01:16:24,03:44:50
3,IVAN TUTUKIN,RUS,00:21:21,02:07:20,01:13:39,03:46:01
4,KEVIN COLLINGTON,USA,00:21:04,02:07:38,01:14:23,03:46:44
5,MATT HANSON,USA,00:21:27,02:11:51,01:11:11,03:48:14
6,ALEX LIBIN,USA,00:21:20,02:07:23,01:16:31,03:49:00
7,ADAM OTSTOT,USA,00:22:20,02:08:25,01:16:42,03:51:07
8,SEAN HARRINGTON,USA,00:22:29,02:08:17,01:17:17,03:51:37
9,ANDRE LOPES,BRA,00:22:16,02:08:22,01:19:32,03:54:09
10,TYLER JORDAN,USA,00:22:36,02:07:59,01:23:31,03:57:56
11,PATRICK BRADY,USA,00:24:58,02:11:13,01:19:01,03:59:25
12,JUSTIN METZLER,USA,00:21:11,02:07:37,01:28:32,04:00:55
13,ELLIOT BACH,USA,00:22:23,02:08:23,01:27:29,04:01:46
14,BENSON HALL,USA,00:22:36,02:07:48,01:28:22,04:02:41
15,JOSE PABLO SALAZAR,CHL,00:21:51,02:09:02,01:28:14,04:02:53
16,NICHOLAS CHASE,USA,00:22:26,02:08:17,01:30:10,04:04:33
17,DEREK KIDWELL,USA,00:21:29,02:09:07,01:32:45,04:06:55
18,HUNTER LUSSI,USA,00:20:09,02:04:52,01:43:32,04:12:23
19,JIMMY SOSINSKI,USA,00:26:54,02:16:40,01:24:55,04:12:42
20,YUNIOR ROSETE TORRES,USA,00:21:08,02:09:56,01:41:21,04:16:40
21,BRANDON KROUT,USA,00:24:33,02:17:30,01:35:40,04:22:24
22,YORLLIRY MORENO,VEN,00:21:21,02:21:05,01:36:01,04:22:45
23,JOHNATHAN LEJEUNE,USA,00:25:29,02:12:39,01:45:12,04:28:42
24,TIM RUSSELL,USA,00:22:39,02:08:09,01:57:43,04:32:00
25,BEAU GARUFI,USA,00:21:24,02:24:21,01:45:07,04:35:28
