Pos,Nome,Pais,Swim,Bike,Run,Total
1,MICHAEL WEISS,AUT,00:23:36,02:00:52,01:18:50,03:47:14
2,TYLER BUTTERFIELD,BMU,00:22:16,02:07:48,01:16:11,03:49:25
3,ALAN CARRILLO AVILA,MEX,00:23:18,02:04:01,01:21:56,03:52:33
4,FRANCISCO SERRANO,MEX,00:22:54,02:07:14,01:22:38,03:55:53
5,CHRIS LEIFERMAN,MEX,00:22:50,02:07:04,01:24:46,03:58:06
6,ELLIOT BACH,USA,00:23:21,02:06:43,01:29:03,04:02:10
7,JUSTIN DAERR,MEX,00:24:37,02:14:43,01:21:27,04:04:06
8,STEVEN ZAWASKI,MEX,00:23:25,02:06:43,01:33:12,04:06:57
9,JOAQUIN PEREDA,MEX,00:21:47,02:17:21,01:25:18,04:07:33
10,DAVID GUETE,COL,00:22:56,02:07:24,01:34:47,04:08:21
11,MARTIN BEDIRIAN,ARG,00:21:21,02:13:54,01:33:47,04:12:22
12,ANDRES CHIRINOS,PER,00:26:31,02:19:17,01:26:46,04:16:13
13,SANTIAGO GEREZ LEVY,MEX,00:23:16,02:22:03,01:28:49,04:17:11
14,ARTURO GARZA,MEX,00:23:13,02:19:09,01:32:35,04:18:44
15,JASON POHL,CAN,00:27:00,02:23:26,01:26:56,04:21:36
16,SACHA CAVELIER,CAN,00:26:56,02:22:15,01:46:41,04:40:27
17,TYLER JORDAN,MEX,00:24:54,02:19:16,02:29:46,06:54:35
99999,TIM REA,AUS,00:22:54,--:--:--,--:--:--,06:12:21
