Pos,Nome,Pais,Swim,Bike,Run,Total
1,FERNANDO ALARZA,ESP,00:22:32,02:15:24,01:11:18,03:54:57
2,JOÃO SILVA,PRT,00:23:24,02:15:10,01:12:39,03:57:23
3,FILIPE AZEVEDO,PRT,00:23:28,02:15:09,01:12:52,03:57:41
4,ALEKSEY KALISTRATOV,RUS,00:24:06,02:14:22,01:13:08,03:57:43
5,COLIN NORRIS,GBR,00:24:09,02:14:24,01:13:13,03:57:48
6,GUSTAVO RODRIGUEZ IGLESIAS,ESP,00:26:36,02:10:20,01:16:29,04:00:10
7,THOMAS STEGER,AUT,00:24:02,02:16:21,01:15:27,04:01:42
8,JOSE ESTRANGEIRO,PRT,00:24:06,02:14:35,01:17:55,04:02:38
9,PEDRO JOSE ANDUJAR,ESP,00:26:38,02:10:55,01:18:56,04:03:23
10,GUILLAUME DORÉE,FRA,00:24:04,02:14:13,01:19:30,04:04:21
11,DAVID BISHOP,GBR,00:24:07,02:15:31,01:19:14,04:05:16
12,MIGUEL ANGEL FIDALGO ROSSELLÓ,ESP,00:23:58,02:14:46,01:21:03,04:05:37
13,DANIEL MUGICA CORRALES,ESP,00:24:29,02:14:37,01:20:39,04:06:07
14,KEVIN RUNDSTADLER,FRA,00:23:57,02:11:37,01:24:45,04:06:26
15,JON UNANUE AYERZA,ESP,00:23:53,02:26:13,01:16:47,04:13:47
16,BARTOSZ BANACH,POL,00:27:42,02:16:01,01:23:36,04:14:01
17,EMILIO MARTIN ROMERO,ESP,00:39:20,02:18:26,01:09:23,04:14:21
18,BRENO MELO,BRA,00:27:35,02:27:01,01:19:58,04:21:25
19,BRUNO PAIS,PRT,00:26:40,02:24:42,01:25:06,04:22:49
20,SIMON BERNIER LALONDE,CAN,00:27:47,02:21:44,01:28:45,04:25:28
21,PAWEL MIZIARSKI,POL,00:26:36,02:26:44,01:25:48,04:25:57
22,MICHAEL LOUYS,BEL,00:32:52,02:19:50,01:29:10,04:28:35
23,ANTHONY CADARIO,FRA,00:28:47,02:27:42,01:26:30,04:30:17
24,AICHLINN O'REILLY,IRL,00:24:01,02:23:24,01:37:54,04:31:49
