Pos,Nome,Pais,Swim,Bike,Run,Total
1,CODY BEALS,CAN,--:--:--,04:20:25,02:48:17,07:10:22
2,MATT RUSSELL,USA,--:--:--,04:23:41,02:55:43,07:21:55
3,KIRILL KOTSEGAROV,EST,--:--:--,04:22:47,02:58:06,07:23:06
4,ADAM OTSTOT,USA,--:--:--,04:30:35,02:59:51,07:32:13
5,SCOTT DEFILIPPIS,USA,--:--:--,04:37:21,02:52:14,07:32:47
6,ADAM FEIGH,USA,--:--:--,04:31:49,03:11:36,07:45:18
7,MARKUS THOMSCHKE,DEU,--:--:--,04:33:41,03:11:58,07:47:44
8,PAUL AMBROSE,AUS,--:--:--,04:31:37,03:18:27,07:52:21
9,COLIN LAUGHERY,USA,--:--:--,04:46:18,03:12:04,08:01:02
10,JIM LUBINSKI,USA,--:--:--,04:38:20,03:23:41,08:04:42
11,JOE GAMBLES,AUS,--:--:--,04:35:34,03:33:34,08:11:07
12,SEBASTIAN NEEF,DEU,--:--:--,04:32:12,03:38:54,08:12:54
13,DANIEL CLARKE,CAN,--:--:--,04:47:17,03:36:26,08:26:00
14,STEPHEN KILSHAW,CAN,--:--:--,04:37:33,04:12:25,08:51:41
15,PETER KOTLAND,CZE,--:--:--,05:03:55,03:45:56,08:54:41
