Pos,Nome,Pais,Swim,Bike,Run,Total
1,REINALDO COLUCCI,BRA,00:23:40,02:08:26,01:15:55,03:51:58
2,IURI VINUTO JOSINO,BRA,00:23:35,02:15:51,01:11:59,03:54:22
3,FERNANDO TOLDI,BRA,00:23:38,02:11:44,01:17:27,03:55:38
4,FLÁVIO QUEIROGA,BRA,00:23:38,02:15:45,01:17:37,04:00:06
5,PAULO ROBERTO MACIEL DA SILVA,BRA,00:23:39,02:15:55,01:17:43,04:00:19
6,LUIZ FRANCISCO PAIVA FERREIRA,BRA,00:23:44,02:13:47,01:20:09,04:00:46
7,KEVIN PORTMANN,FRA,00:28:15,02:13:07,01:23:27,04:08:44
8,FELIPE MANENTE,BRA,00:25:24,02:19:34,01:24:27,04:13:05
9,ROBERTO RIVERA,CHL,00:25:18,02:23:48,01:25:00,04:18:06
10,JUAN MANUEL LAURO,URY,00:25:18,02:23:40,01:31:50,04:24:13
