Pos,Nome,Pais,Swim,Bike,Run,Total
1,ANDY POTTS,USA,00:22:08,02:06:45,01:18:37,03:50:36
2,BEN HOFFMAN,USA,00:24:51,02:07:18,01:16:48,03:51:46
3,TREVOR WURTELE,CAN,00:25:19,02:03:30,01:23:50,03:55:51
4,TOM LOWE,GBR,00:26:37,02:08:29,01:18:18,03:56:56
5,MARK BOWSTEAD,NZL,00:24:10,02:12:25,01:18:00,03:57:58
6,GEORGE BJALKEMO,SWE,00:26:28,02:14:23,01:17:16,04:01:15
7,ROBBIE WADE,IRL,00:25:45,02:16:25,01:17:17,04:02:31
8,BENSON HALL,USA,00:26:25,02:10:08,01:23:40,04:03:16
9,WES ANDERSON,USA,00:26:26,02:11:48,01:22:19,04:03:50
10,VICTOR DEBIL-CAUX,FRA,00:26:30,02:14:25,01:22:49,04:06:55
11,MADS VITTRUP-PEDERSEN,DNK,00:29:19,02:16:02,01:20:30,04:09:25
12,MIKE HERMANSON,USA,00:25:09,02:13:30,01:27:15,04:09:32
13,MARK SARONI,USA,00:26:24,02:18:00,01:22:21,04:09:57
14,JIM LUBINSKI,USA,00:28:02,02:14:13,01:25:13,04:10:52
15,TONY WHITE,USA,00:25:39,02:21:09,01:22:56,04:13:10
16,PAUL EICHER,USA,00:24:59,02:17:19,01:28:26,04:14:54
17,KEITH BUTSKO,USA,00:26:31,02:22:06,01:28:36,04:20:02
18,MARTIN LAMONTAGNE-LACASSE,CAN,00:26:28,02:22:34,01:28:50,04:21:16
19,MARK HILLERS,USA,00:29:20,02:22:26,01:32:07,04:27:34
