Pos,Nome,Pais,Swim,Bike,Run,Total
1,WILL CLARKE,GBR,00:22:14,02:25:10,01:14:50,04:04:16
2,VICTOR DEL CORRAL,ESP,00:26:19,02:21:34,01:14:09,04:04:22
3,ROMAIN GUILLAUME,FRA,00:22:24,02:20:24,01:21:54,04:06:53
4,PIETER HEEMERYCK,BEL,00:22:13,02:25:11,01:17:40,04:07:16
5,MARKO ALBERT,EST,00:22:01,02:26:09,01:18:09,04:08:18
6,HERVE BANTI,MCO,00:23:37,02:23:45,01:20:16,04:10:08
7,EVERT SCHELTINGA,NLD,00:22:15,02:27:18,01:19:06,04:10:40
8,TIM MEYER,DEU,00:24:15,02:24:49,01:19:59,04:11:42
9,AXEL ZEEBROEK,BEL,00:22:02,02:25:02,01:24:04,04:13:06
10,NICOLAS FERNANDEZ,FRA,00:23:57,02:25:25,01:23:27,04:14:49
11,STENN GOETSTOUWERS,BEL,00:22:59,02:26:02,01:24:29,04:16:21
12,KENNETH VANDENDRIESSCHE,BEL,00:26:27,02:25:48,01:25:34,04:20:15
13,GEERT JANSSENS,BEL,00:24:02,02:30:40,01:23:28,04:20:39
14,HENRIK HYLDELUND,DNK,00:23:27,02:32:43,01:23:14,04:22:04
15,FRANCISCO CORTES,ESP,00:23:57,03:03:07,01:37:20,05:06:54
