Pos,Nome,Pais,Swim,Bike,Run,Total
1,EVA WUTTI,AUT,01:00:42,04:41:30,03:04:02,08:49:21
2,CAMILLA PEDERSEN,DNK,00:53:35,04:49:13,03:13:02,08:58:46
3,SUSIE CHEETHAM,GBR,00:58:43,04:52:10,03:09:19,09:03:32
4,REGULA ROHRBACH,CHE,00:58:53,04:42:51,03:22:18,09:07:54
5,ELISABETH GRUBER,AUT,01:02:45,04:56:28,03:13:10,09:15:35
6,CAMILLA LINDHOLM BORG,SWE,01:12:36,04:43:04,03:20:29,09:19:37
7,EVI NEUSCHELER,DEU,01:06:10,04:49:02,03:23:35,09:22:34
8,DARBI ROBERTS,USA,00:54:56,04:55:39,03:29:24,09:23:39
9,KATHRIN WALTHER,DEU,01:02:37,04:53:11,03:25:28,09:25:22
10,MONIQUE GROSSRIEDER,CHE,01:06:18,05:00:08,03:17:00,09:27:11
11,LENA HOLMGREN,SWE,01:11:01,05:04:05,03:10:06,09:28:57
12,KATHARINA GROHMANN,DEU,01:14:42,04:57:19,03:13:11,09:28:59
13,NINA PEKERMAN,ISR,01:02:39,04:56:45,03:25:34,09:29:09
14,ELEANOR HARESIGN,GBR,01:02:40,04:52:19,03:32:40,09:31:11
15,JOANNA CARRITT,GBR,01:06:15,05:03:12,03:18:21,09:31:25
16,EMMA GRAAF,SWE,01:02:42,05:00:44,03:31:05,09:37:57
17,KRISTIN LIE,NOR,01:13:58,05:01:35,03:37:30,09:56:35
18,RAHEL BELLINGA,NLD,01:05:39,05:00:02,04:14:56,10:25:15
