Pos,Nome,Pais,Swim,Bike,Run,Total
1,CLEMENTE ALONSO-MCKERNAN,ESP,00:49:22,04:25:31,02:46:14,08:04:13
2,MIQUEL BLANCHART TINTO,ESP,00:49:36,04:25:41,02:46:37,08:04:38
3,KONSTANTIN BACHOR,DEU,00:49:40,04:19:40,02:57:49,08:09:42
4,ALBERTO CASADEI,ITA,00:49:29,04:25:52,02:52:48,08:10:49
5,BAS DIEDEREN,NLD,00:49:35,04:25:48,02:53:22,08:11:26
6,JOE SKIPPER,GBR,00:56:29,04:32:49,02:47:32,08:20:39
7,JARMO HAST,FIN,00:53:29,04:35:14,02:52:19,08:23:49
8,GUDMUND SNILSTVEIT,NOR,00:56:28,04:32:07,02:54:59,08:26:20
9,ANTON BLOKHIN,UKR,00:51:24,04:35:46,02:56:49,08:26:50
10,ANDREJ LYATSKIY,RUS,00:49:44,04:38:33,03:00:45,08:32:15
11,MAURO BAERTSCH,CHE,00:56:15,04:31:52,03:03:31,08:34:47
12,GWENAEL OUILLERES,FRA,00:53:39,04:34:47,03:04:14,08:35:36
13,MARKUS THOMSCHKE,DEU,00:55:27,04:32:55,03:07:48,08:39:14
14,MARK OUDE BENNINK,NLD,00:49:31,04:32:05,03:15:11,08:39:32
15,ANDREAS NIEDRIG,DEU,00:49:35,04:25:34,03:24:06,08:42:10
16,CHRISTOPHE BASTIE,FRA,00:56:33,04:31:22,03:27:35,08:58:38
17,LUCA DE PAOLIS,ITA,01:04:03,04:45:36,03:06:02,08:59:12
18,MIKE SCHIFFERLE,CHE,01:02:49,04:39:10,03:17:17,09:02:31
19,ENRIC GUSSINYER,ESP,00:52:38,04:38:22,03:27:22,09:02:39
20,ROMAN DEISENHOFER,DEU,00:55:14,04:33:18,03:34:45,09:06:00
21,HENDRIK-JAN VERHAEGEN,BEL,00:58:59,04:45:01,03:23:45,09:11:01
22,KENT HORNER,ZAF,00:49:33,04:39:11,03:45:04,09:16:29
23,ALEJANDRO JIMENEZ VALVERDE,ESP,01:01:11,04:41:02,03:31:30,09:19:18
24,EDUARDO CROOKE GONZALEZ DE AGUILAR,ESP,00:56:21,05:01:14,03:21:29,09:23:14
25,SERGIO GAMAZO FERNANDEZ,ESP,01:08:29,04:42:19,03:29:12,09:25:00
26,STEVE CLARK,GBR,01:03:49,04:47:55,03:42:25,09:37:48
27,PETR VABROUSEK,CZE,00:56:35,04:56:05,03:53:43,09:50:08
28,MAKSIM KALININ,RUS,01:14:41,05:06:03,03:33:31,09:58:16
29,MAREK NEMCIK,SVK,01:18:20,05:11:28,05:19:42,11:56:04
