Pos,Nome,Categ,Swim,Bike,Run,Total
9,BRASILIO VICENTE CASTRO NETO,30-34,--:--:--,05:06:30,03:11:47,08:21:05
6,LEONARDO MOREIRA,45-49,--:--:--,05:09:44,03:15:13,08:28:58
7,LUIZ WANDERLEY TAVARES,45-49,--:--:--,05:21:50,03:06:22,08:32:49
14,EDUARDO MALUCELLI,35-39,--:--:--,05:21:30,03:16:43,08:43:15
22,RODRIGO TOME,30-34,--:--:--,05:05:30,03:42:45,08:53:25
8,ARTUR ALMEIDA,25-29,--:--:--,05:14:17,03:36:34,08:56:51
26,JOAO CHAVES,40-44,--:--:--,05:43:50,03:19:11,09:09:17
34,LEANDRO LEÃO GUERRIERE,30-34,--:--:--,05:24:06,03:40:10,09:10:00
21,LUAN ORTIZ,PRO,--:--:--,05:35:10,03:34:26,09:12:06
33,MARCOS TILKIAN,40-44,--:--:--,05:30:13,03:40:34,09:15:15
2,JUAN VERGARA,55-59,--:--:--,05:29:01,03:45:22,09:17:39
38,GUI PASCULLI,30-34,--:--:--,05:44:07,03:31:11,09:21:11
56,LUIS DAMATO,40-44,--:--:--,05:16:34,04:09:22,09:29:52
44,THIAGO LADEIRA,30-34,--:--:--,05:11:25,04:14:58,09:31:22
20,MAURICIO HIDALGO,50-54,--:--:--,05:35:57,03:51:22,09:32:59
59,RICARDO CHEMMER,40-44,--:--:--,05:39:12,03:50:24,09:35:19
70,GUILHERME LEITE,35-39,--:--:--,05:00:34,04:41:50,09:46:45
9,CARLA MORENO,PRO,--:--:--,05:58:43,03:48:58,09:53:58
64,MAURO ROBERTO GIORCHINO,45-49,--:--:--,05:52:37,03:56:15,09:54:30
66,MARCOS COSTA,45-49,--:--:--,05:44:50,04:06:47,09:56:20
36,AMILCAR F ALTEMANI,50-54,--:--:--,05:37:52,04:22:33,10:07:19
2,LUCA BARCIK GLASER,18-24,--:--:--,06:09:06,03:54:24,10:07:56
116,FABIO LEME,35-39,--:--:--,06:05:17,04:11:03,10:21:38
18,ALESSANDRA CASTANHO,40-44,--:--:--,06:08:42,04:04:50,10:22:20
46,GLAUCON PEREIRA,50-54,--:--:--,06:05:07,04:11:47,10:24:46
92,JULIANO SADDOCK DE SA,30-34,--:--:--,05:33:35,04:48:34,10:26:56
123,ALEX THUMLERT,35-39,--:--:--,05:51:12,04:32:13,10:32:22
129,FABIO POMPEO,35-39,--:--:--,06:08:58,04:23:19,10:37:19
144,LUCIANO FERREIRA LIMA JR,35-39,--:--:--,06:06:20,04:18:59,10:46:22
152,RICARDO DAMICO,45-49,--:--:--,05:45:52,05:07:42,11:02:14
