Pos,Nome,Pais,Swim,Bike,Run,Total
1,LIONEL SANDERS,CAN,--:--:--,04:12:46,02:44:12,06:58:46
2,TOM LOWE,GBR,--:--:--,04:25:07,02:50:35,07:17:53
3,MAXIM KRIAT,USA,--:--:--,04:33:28,02:48:52,07:24:50
4,JOERIE VANSTEELANT,BEL,--:--:--,04:30:11,02:56:43,07:29:31
5,PEDRO GOMES,PRT,--:--:--,04:35:03,02:52:33,07:29:45
6,PER VAN VLERKEN,DEU,--:--:--,04:36:29,02:55:16,07:33:47
7,DAVID NASVIK,SWE,--:--:--,04:36:35,03:07:25,07:46:30
8,ARTEM PARIENKO,RUS,--:--:--,04:53:02,02:56:15,07:51:19
9,KARL-JOHAN DANIELSSON,SWE,--:--:--,04:40:02,03:13:10,07:55:34
10,BEN HOFFMAN,USA,--:--:--,04:37:02,03:17:25,07:57:13
11,FRED LIMOUSIN,FRA,--:--:--,04:51:00,03:07:56,08:01:59
12,PETER KOTLAND,CZE,--:--:--,04:46:49,03:21:23,08:12:41
13,AUBREY ALDY,USA,--:--:--,05:09:14,03:04:39,08:16:08
14,ROD DE KANEL,FRA,--:--:--,04:51:46,03:27:13,08:24:06
15,DANTLEY YOUNG,USA,--:--:--,05:24:23,02:58:56,08:29:06
16,VINCENT DEPUISET,FRA,--:--:--,05:05:43,03:19:55,08:29:37
17,BRENT MCBURNEY,USA,--:--:--,05:12:59,03:18:15,08:33:18
18,PHILIP MOSLEY,GBR,--:--:--,04:54:41,03:41:57,08:39:01
19,LUDOVIC LE GUELLEC,FRA,--:--:--,05:26:40,03:20:26,08:50:21
20,ROMAN KRUTINA,CZE,--:--:--,05:01:28,04:00:15,09:05:30
21,LUAN ORTIZ,BRA,--:--:--,05:35:10,03:34:26,09:12:06
