Pos,Nome,Pais,Swim,Bike,Run,Total
1,DEDE GRIESBAUER,USA,00:51:10,05:05:19,03:17:16,09:20:23
2,DIMITY-LEE DUKE,AUS,00:58:08,05:16:14,03:10:17,09:31:31
3,KIM SCHWABENBAUER,USA,01:00:08,05:15:41,03:15:53,09:38:35
4,SHIAO-YU LI,TWN,01:07:10,05:22:36,03:14:57,09:50:52
5,KEIKO TANAKA,JPN,00:54:39,05:21:01,03:34:05,09:55:41
6,EVA POTUCKOVA,CZE,00:51:18,05:27:31,03:32:42,09:57:47
7,ALENA STEVENS,SVK,01:01:01,05:31:40,03:38:23,10:18:01
8,ANGELA KUEHNLEIN,DEU,01:01:03,05:30:53,03:42:52,10:21:28
9,MAKI NISHIUCHI,JPN,00:54:38,05:39:58,03:42:54,10:24:44
10,SAMANTHA MORRISON,USA,00:51:06,05:40:57,05:57:17,12:37:04
