Pos,Nome,Pais,Swim,Bike,Run,Total
1,ANDI BOECHERER,DEU,00:22:07,02:02:08,01:19:51,03:48:10
2,CODY BEALS,CAN,00:23:38,02:05:14,01:16:01,03:48:33
3,VIKTOR ZYEMTSEV,UKR,00:22:39,02:06:16,01:18:45,03:51:18
4,MICHAEL WEISS,AUT,00:25:27,02:02:34,01:18:47,03:51:35
5,RAUL TEJADA,GTM,00:23:35,02:04:58,01:20:17,03:52:46
6,DREW SCOTT,USA,00:22:32,02:06:05,01:20:57,03:53:20
7,LEON GRIFFIN,AUS,00:22:36,02:06:14,01:21:24,03:53:59
8,JAMES HADLEY,GBR,00:22:13,02:06:35,01:22:33,03:55:10
9,CÉDRIC BOILY,CAN,00:23:26,02:05:16,01:22:39,03:55:20
10,TAYLOR REID,CAN,00:23:58,02:04:51,01:28:35,04:01:22
11,MAURICIO MENDEZ CRUZ,MEX,00:22:34,02:14:22,01:20:32,04:01:42
12,MARIO DE ELIAS,ARG,00:23:39,02:13:20,01:29:08,04:10:18
13,ALAN CARRILLO AVILA,MEX,00:24:07,02:13:05,01:29:35,04:10:56
14,JORGE FUENTES,MEX,00:23:29,02:16:30,01:30:14,04:14:57
15,VICTOR ARROYO BUGALLO,ESP,00:27:56,02:22:24,01:23:34,04:18:11
16,ANDRES DARRICAU,ARG,00:24:05,02:19:23,01:33:45,04:21:38
17,SERGIO QUEZADA RUIZ,MEX,00:24:01,02:19:51,01:36:14,04:25:13
18,ERNESTO FERNANDEZ TORRES,PAN,00:28:02,02:23:15,01:36:47,04:32:33
19,EDUARDO CHONG,MEX,00:28:01,02:26:08,01:37:24,04:36:48
20,DANIEL TIGERT,USA,00:23:33,02:17:40,02:13:14,04:59:24
