Pos,Nome,Categ,Swim,Bike,Run,Total
26,GUILHERME MANOCCHIO,PRO,00:56:47,04:47:15,03:14:55,09:04:19
11,CHARLES COSTA BORGES LIMA,30-34,01:05:57,04:54:21,03:16:20,09:22:31
9,ANTONIO FERREIRA DA SILVA NETO,35-39,00:56:24,05:07:23,03:16:35,09:25:47
12,ARTHUR MARCONDES FERRAZ SILVA,35-39,00:56:24,04:49:34,03:35:45,09:26:57
6,JOSE GRACA,40-44,01:04:25,04:53:06,03:24:58,09:29:16
3,FELLIPE SANTOS,18-24,00:55:08,05:07:02,03:22:56,09:31:53
33,IGOR AMORELLI,PRO,00:52:30,04:34:56,04:01:57,09:34:17
25,CESAR DALQUANO,35-39,01:01:58,05:04:43,03:24:36,09:38:40
35,EDUARDO MARQUES,30-34,01:01:11,05:08:37,03:23:06,09:39:36
4,LUIS OHDE,18-24,00:57:46,05:00:52,03:36:17,09:40:31
35,FABIANO SANTOS,35-39,00:57:31,05:08:16,03:28:32,09:41:46
22,KELMERSON HENRI BUCK,40-44,00:59:01,04:58:19,03:39:34,09:44:37
44,SAMUEL SILVA,30-34,01:06:40,05:25:53,03:08:01,09:48:11
48,GUSTAVO FLERUY SOARES,35-39,01:02:33,04:54:23,03:46:51,09:51:11
53,LUIZ FLAVIO INACIO SILVA,30-34,01:06:47,04:55:35,03:40:38,09:52:03
31,KID WALTER TLAIJA,25-29,01:07:40,05:11:14,03:26:08,09:52:49
55,MARCELINO DE MIRANDA,30-34,00:58:55,05:06:18,03:40:42,09:53:29
59,MICHELL ROSA DE JESUS,35-39,01:12:17,05:09:50,03:26:24,09:56:24
67,ROMMEL PORCINO REINALDO,35-39,01:01:21,05:05:17,03:45:23,09:58:54
73,JOSE DOMINGOS,35-39,01:03:30,05:23:33,03:27:18,10:00:53
63,RANGEL RODRIGUES,40-44,01:09:52,05:22:48,03:22:07,10:03:24
66,ANDRE KINA,40-44,01:00:54,05:18:02,03:34:20,10:04:23
77,RODOLFO OLIVEIRA,30-34,01:04:55,04:52:51,04:02:28,10:06:45
90,ALAN LIMA,35-39,01:05:47,05:23:46,03:29:57,10:09:08
92,RAFAEL CHIEZA FORTES GARCIA,35-39,01:08:06,05:07:06,03:47:18,10:10:36
86,LEANDRO LEAO GUERRIERE,30-34,01:01:16,05:11:11,03:48:37,10:11:32
109,BRUNO CESAR FRANCA,35-39,01:04:15,05:13:40,03:45:40,10:14:14
85,WALCYR BANDEIRA,40-44,01:01:53,05:20:13,03:44:20,10:15:15
96,MARCIO VERISSIMO,30-34,01:03:41,05:02:57,04:02:16,10:15:47
94,MARCELO PENNA,40-44,01:10:37,05:17:14,03:45:29,10:20:06
Pos,Nome,Categ,Swim,Bike,Run,Total
47,PEDRO LUIZ CERIZE,45-49,01:12:33,05:28:08,03:33:03,10:21:16
61,RAFAEL ARIAS,25-29,01:01:33,05:22:25,03:48:54,10:23:35
130,HAKANAY QUEIROZ,35-39,01:09:23,05:07:37,03:58:13,10:23:39
109,FREDERICO MARQUES,30-34,00:59:00,05:12:05,04:06:31,10:26:12
110,DIEGO MONTECELLI,30-34,01:06:06,05:29:15,03:39:52,10:26:21
135,JOSELITO DOMINGUES,35-39,01:10:15,05:03:18,04:04:57,10:26:23
112,ELANO BARBOSA RIBEIRO,40-44,01:11:28,05:30:14,03:37:28,10:27:13
64,MATHEUS PACHECO VENTURINI,25-29,01:02:54,05:10:20,04:06:53,10:28:04
65,CLEBER TOLEDO,45-49,01:10:10,05:38:25,03:26:37,10:28:55
140,RAFAEL GONCALVES,35-39,00:51:21,05:23:03,04:09:04,10:30:50
114,RAFAEL SOUZA,30-34,00:58:45,05:30:56,03:55:01,10:32:26
117,ARIEL RAMOS LENHARO,30-34,01:03:49,05:31:16,03:48:46,10:33:10
11,ROSECLER OLIVEIRA AMORIM DA COSTA,35-39,01:10:59,05:26:58,03:48:54,10:33:57
9,MARIA CECILIA CARVALHO,25-29,01:08:43,05:25:04,03:58:48,10:40:28
124,ROBERTO COSTA FILHO,30-34,01:06:33,05:17:09,04:08:25,10:40:37
156,EDNEY BATISTA,35-39,00:57:49,05:15:10,04:13:32,10:41:39
155,SERGIO MENTUCCI,40-44,01:12:40,05:36:14,03:46:47,10:44:31
163,EDUARDO JUREVICS DOS SANTOS MARCOLINO,35-39,01:02:51,05:11:08,04:24:36,10:46:43
107,CLAUDIO GAVIOLI,45-49,01:01:18,05:24:58,04:13:11,10:48:10
13,SYLVIA KREUGER,30-34,01:16:07,05:39:54,03:44:38,10:49:13
120,CLOVIS PIRES DA SILVA,45-49,01:02:01,05:36:38,04:04:43,10:53:34
19,LUIZA TOBAR,25-29,01:08:05,05:56:17,03:47:03,10:58:04
18,LISANDRA MESQUITA BATISTA,35-39,01:17:47,06:07:02,03:23:56,10:58:28
174,RICARDO FARIA,35-39,01:10:13,05:23:05,04:13:26,11:00:30
137,ROBERTO VALENTE,30-34,01:06:39,05:30:35,04:06:03,11:00:30
138,MARCO VINICIUS DE FARIA,30-34,00:55:10,05:20:55,04:37:59,11:02:20
134,ROGERIO CAPELLARI,45-49,01:11:02,05:06:51,04:31:46,11:02:35
59,GIUSEPPE MUSELLA,50-54,01:06:58,05:44:30,03:57:44,11:02:53
13,JUAN VERGARA,55-59,01:16:50,05:47:20,03:50:28,11:02:58
147,PINHATI MARCIO,45-49,01:20:38,05:33:42,04:03:15,11:10:12
Pos,Nome,Categ,Swim,Bike,Run,Total
143,BRUNO COLLATO,30-34,01:06:49,05:27:14,04:28:03,11:12:04
89,GUILHERME GARCIA CUNHA,25-29,01:01:04,04:56:09,05:11:57,11:16:54
33,NICOLE DE BOM,30-34,01:23:25,05:48:44,03:56:27,11:17:42
35,PAULO FARINA,18-24,01:10:21,05:38:37,04:18:47,11:18:20
202,HERALDO VIANA BARBOSA DE SOUSA VIANA,40-44,01:10:13,06:00:48,03:58:34,11:24:48
188,IVAN VELOSO,35-39,01:19:33,05:55:58,04:01:21,11:27:34
5,VICTÓRIA REMAILI,18-24,01:07:13,05:54:56,04:12:20,11:28:26
94,THIAGO BIANCHINI,25-29,01:03:47,06:54:21,03:34:10,11:40:38
25,ARIANE MONTICELI,PRO,01:05:12,05:15:19,05:16:01,11:41:53
195,ARTHUR ALVIM FARIA DA SILVA,35-39,01:20:31,05:28:23,04:45:51,11:44:39
58,LUCIANA HADDAD,35-39,01:26:11,06:38:55,03:43:39,11:54:59
115,LUIS TINELLO,50-54,01:14:46,06:07:16,04:17:52,11:55:10
98,JOAO MARTINS GALVAO,25-29,00:58:59,05:26:35,05:27:01,11:57:35
46,NELSON APARECIDO CAVALHEIRO RUFINO,55-59,01:46:39,06:23:47,03:33:54,11:58:12
118,LUIS CARLOS LYRA PATO,50-54,01:10:19,06:01:57,04:35:16,12:01:10
53,WILBERT GOLDEN BATISTA,55-59,01:29:07,06:25:29,04:04:12,12:12:20
70,FLAVIA ORCAS,35-39,01:22:25,06:18:03,04:24:28,12:15:30
184,PAULO CESAR CABRAL GRANADO,45-49,01:03:10,06:01:28,04:55:23,12:16:18
130,MANOEL ALBERTO LOPES DIAS,50-54,01:12:48,06:05:00,04:56:01,12:23:38
57,TALITA SAAB,30-34,01:11:49,06:32:18,04:29:21,12:26:38
162,VICENTE BROCCHETTO,30-34,01:10:21,06:14:54,05:01:53,12:41:29
13,HEDLA LOPES,55-59,01:06:29,06:18:35,05:10:51,12:45:55
234,JOSÉ ROBERTO P. R. NOVAES,40-44,01:07:14,06:21:46,04:54:53,12:46:30
198,SAMUEL OLIVEIRA,45-49,01:24:07,06:06:16,05:04:09,12:53:21
243,EDUARDO FERNANDES,40-44,01:05:20,05:56:58,05:42:20,12:55:39
35,MARCELO PEREIRA,60-64,01:30:08,06:58:49,04:22:10,13:16:13
37,ELEONAR ALVES,60-64,01:53:44,06:33:12,04:36:30,13:25:00
72,MONICA ANDRADE,45-49,01:08:46,07:05:07,05:17:32,13:41:13
26,LAHIS FRANCIELLE PEREIRA,18-24,01:34:03,06:45:21,05:14:45,13:47:27
39,REGIANE ISAAC DOS SANTOS GARCIA,55-59,01:38:41,07:43:40,05:00:38,14:41:55
