Pos,Nome,Pais,Swim,Bike,Run,Total
1,HARRY WILTSHIRE,GBR,00:23:35,02:23:50,01:18:03,04:10:41
2,STUART HAYES,GBR,00:23:38,02:23:39,01:18:45,04:11:43
3,YVAN JARRIGE,FRA,00:24:09,02:26:16,01:16:11,04:12:12
4,MARK THRELFALL,GBR,00:23:33,02:23:37,01:20:05,04:12:53
5,MARKUS LIEBELT,DEU,00:26:38,02:23:22,01:19:07,04:15:05
6,JUSTIN METZLER,USA,00:25:21,02:24:28,01:19:25,04:15:32
7,CEDRIC LASSONDE,FRA,00:26:05,02:28:50,01:19:10,04:21:12
8,COLIN NORRIS,GBR,00:25:23,02:32:15,01:16:40,04:21:25
9,ESBEN HOVGAARD,DNK,00:25:27,02:30:51,01:20:18,04:22:54
10,BRAD WILLIAMS,USA,00:26:42,02:23:47,01:33:04,04:30:28
11,CRAIG TWIGG,GBR,00:25:24,02:30:15,01:32:01,04:35:44
12,TIM HANCOCK,GBR,00:27:54,02:39:20,01:24:39,04:39:49
13,CYRIL POCHON,FRA,00:25:24,02:43:07,01:24:47,04:40:14
14,SACHA CAVELIER,CAN,00:28:12,02:38:27,01:34:20,04:49:10
