Pos,Nome,Pais,Swim,Bike,Run,Total
1,JAN FRODENO,DEU,00:48:02,04:29:00,02:45:34,08:06:30
2,SEBASTIAN KIENLE,DEU,00:52:27,04:23:55,02:49:03,08:10:02
3,PATRICK LANGE,DEU,00:48:57,04:37:49,02:39:45,08:11:14
4,BEN HOFFMAN,USA,00:48:55,04:28:06,02:51:45,08:13:00
5,ANDI BOECHERER,DEU,00:48:10,04:28:07,02:52:05,08:13:25
6,TIMOTHY O'DONNELL,USA,00:48:12,04:29:10,02:55:01,08:16:20
7,BORIS STEIN,DEU,00:54:10,04:23:04,02:55:19,08:16:56
8,BART AERNOUTS,BEL,00:53:58,04:32:37,02:48:44,08:20:30
9,IVAN RANA,ESP,00:48:52,04:38:13,02:50:17,08:21:51
10,FREDERIK VAN LIERDE,BEL,00:48:49,04:35:33,02:53:21,08:21:59
11,ANDY POTTS,USA,00:48:02,04:35:46,02:56:56,08:25:35
12,MATT RUSSELL,USA,00:54:02,04:33:08,02:54:24,08:25:52
13,DAVID MCNAMEE,GBR,00:48:06,04:45:36,02:49:56,08:28:05
14,MARKO ALBERT,EST,00:48:04,04:33:33,03:02:53,08:28:20
15,RONNIE SCHILDKNECHT,CHE,00:53:55,04:35:02,02:55:47,08:29:11
16,JESSE THOMAS,USA,00:52:30,04:34:13,02:57:28,08:29:40
17,DAVID PLESE,SVN,00:52:33,04:31:05,03:02:59,08:32:05
18,CYRIL VIENNOT,FRA,00:52:19,04:33:47,03:04:18,08:34:50
19,TIM VAN BERKEL,AUS,00:48:57,04:48:11,02:53:14,08:35:27
20,ALESSANDRO DEGASPERI,ITA,00:50:46,04:48:25,02:53:13,08:36:58
21,RUEDI WILD,CHE,00:48:59,04:37:41,03:05:02,08:37:26
22,KIRILL KOTSEGAROV,EST,00:54:13,04:33:22,03:04:41,08:38:00
23,DENIS CHEVROT,FRA,00:48:05,04:41:44,03:05:43,08:39:58
24,DAVID DELLOW,AUS,00:48:58,04:38:36,03:08:16,08:40:24
25,STEFAN SCHMID,DEU,00:53:52,04:39:42,03:01:26,08:40:40
26,JAMES CUNNAMA,ZAF,00:48:52,04:38:33,03:10:24,08:42:03
27,ENEKO LLANOS,ESP,00:48:56,04:30:48,03:18:18,08:42:25
28,TIMO BRACHT,DEU,00:50:06,04:48:40,03:00:45,08:43:37
29,LIONEL SANDERS,CAN,00:56:41,04:26:35,03:17:01,08:44:49
30,BRENT MCMAHON,CAN,00:48:06,04:38:49,03:14:49,08:45:45
