Pos,Nome,Categ,Swim,Bike,Run,Total
1,ITALO RIZZO JÚNIOR,35-39,00:27:30,02:23:13,01:32:08,04:29:49
9,FLAVIO LOPES,40-44,00:26:38,02:27:27,01:35:05,04:38:40
14,ALEXANDRE ARBEX DE CASTRO VILAS BOAS,30-34,00:32:23,02:27:20,01:33:08,04:41:48
23,RENAN BAROUKH,30-34,00:30:47,02:38:54,01:32:06,04:50:32
24,FABIO VIEIRA,35-39,00:32:32,02:32:31,01:37:15,04:50:50
30,CARLOS WILLIAM CAMPOS GOULART,30-34,00:37:33,02:34:21,01:37:11,04:55:50
39,MURILO BARIZON,35-39,00:29:17,02:34:54,01:44:34,04:56:13
43,RENATO PIRES,35-39,00:30:21,02:36:12,01:39:12,04:57:53
35,RAFAEL MIGANI MONTEIRO,30-34,00:31:22,02:35:26,01:43:37,04:59:17
4,TICIANE SILVA AMANCIO,30-34,00:31:56,02:38:26,01:40:53,04:59:58
49,KLAUS KAPUZZO,35-39,00:34:39,02:31:11,01:45:40,05:00:41
23,RENAN CEREZER,25-29,00:34:29,02:39:03,01:40:22,05:03:35
6,MARIANA BRÜGGER,30-34,00:34:06,02:37:08,01:45:03,05:04:39
63,PAULO MOREIRA,35-39,00:32:25,02:36:55,01:48:54,05:07:03
60,GUILHERME BUENO DE MORAES,40-44,00:35:42,02:36:03,01:45:31,05:07:43
55,MATHEUS FROES,30-34,00:34:36,02:37:12,01:49:07,05:11:03
58,THIAGO VELOSO,30-34,00:32:13,02:41:37,01:49:03,05:11:26
78,ANDRE DE SOUZA DANTAS VIEIRA,40-44,00:35:19,02:41:44,01:44:57,05:13:06
55,GUSTAVO DUARTE,45-49,00:31:17,02:41:34,01:50:00,05:13:15
75,JOÃO PAULO BOAS,35-39,00:29:08,02:50:43,01:45:28,05:14:18
86,ANTONIO CARLOS THEODORO DE CARVALHO,40-44,00:34:24,02:36:27,01:51:36,05:14:44
93,RODRIGO LACERDA ALVES,35-39,00:31:48,02:52:59,01:45:55,05:21:41
18,EULER TEIXEIRA  FILHO,50-54,00:37:42,02:33:37,02:02:18,05:23:32
102,FELIPE FREITAS,35-39,00:32:51,02:39:46,01:57:37,05:23:46
20,RICARDO ZUGLIANI,50-54,00:33:41,02:44:44,01:59:09,05:27:46
93,GUILHERME DORNELLES DE MELLO,30-34,00:38:06,02:49:19,01:47:02,05:28:54
125,JOSE AFFONSECA,40-44,00:35:56,02:46:09,01:56:07,05:29:42
25,MARIO TOMAS,50-54,00:37:49,02:50:40,01:53:30,05:32:18
7,VIRGINIA VASCONCELOS,40-44,00:34:57,02:49:11,02:00:15,05:32:47
11,MELISSA BERTTI DE OLIVEIRA,35-39,00:40:58,02:52:24,01:48:28,05:34:18
Pos,Nome,Categ,Swim,Bike,Run,Total
139,ANTONIO VALVERDE,35-39,00:38:12,02:40:35,02:04:47,05:34:27
140,BERNARDO DUARTE,40-44,00:35:07,02:58:02,01:52:04,05:34:44
141,ANDRE DEL NEGRO,40-44,00:29:40,02:59:42,01:54:06,05:34:48
142,RODRIGO SOARES CUNHA,40-44,00:34:57,02:44:51,02:03:03,05:35:58
10,ALEXANDRA ARROJADO CORREIA PEREIRA,30-34,00:36:47,02:57:04,01:49:31,05:36:15
143,LEANDRO SPINARDI,35-39,00:33:59,02:52:01,01:59:29,05:36:19
146,RAFAEL BASTOS,35-39,00:35:13,02:58:47,01:51:00,05:36:59
108,VICTOR SUHETT,30-34,00:44:07,02:44:29,01:57:45,05:37:36
96,MASSAAKI SAKAGAMI,45-49,00:31:05,02:43:39,02:14:11,05:38:37
150,ADRIANO MARCONDES FROES,35-39,00:32:39,02:50:22,02:05:27,05:39:06
39,ALBOR REÑONES,50-54,00:35:09,03:00:51,01:54:07,05:40:15
119,EDUARDO SANTOS,30-34,00:43:33,02:52:29,01:54:59,05:42:35
169,VINICIUS MACIEL FRANCESCHI,40-44,00:31:35,02:52:29,02:05:08,05:44:12
166,FILINTO MULLER,35-39,00:35:30,02:40:13,02:14:22,05:45:05
125,LUIS PHILLIPE DIEZ,30-34,00:34:27,03:01:31,01:57:47,05:47:05
16,NATASHA KOESTER,35-39,00:34:41,02:55:18,02:06:25,05:47:22
