Pos,Nome,Pais,Swim,Bike,Run,Total
1,ANDREAS DREITZ,DEU,00:46:52,04:16:46,02:51:53,08:03:27
2,JENS PETERSEN-BACH,DNK,00:47:08,04:31:04,02:47:29,08:12:57
3,ANDREJ VISTICA,,00:50:06,04:29:48,02:49:49,08:17:47
4,JEREMY JURKIEWICZ,FRA,00:45:49,04:32:31,02:55:38,08:21:25
5,TIMO BRACHT,DEU,00:47:04,04:31:05,03:00:15,08:25:40
6,IVAN RISTI,,00:45:54,04:35:04,02:57:25,08:26:15
7,PATRICK JABERG,CHE,00:50:07,04:30:02,03:02:51,08:30:47
8,PHILIPP KOUTNY,CHE,00:47:00,04:31:14,03:12:05,08:37:53
9,MACIEJ CHMURA,POL,00:47:02,04:46:43,03:02:37,08:44:52
10,URS MÜLLER,CHE,00:50:07,04:29:45,03:17:38,08:45:56
11,DARBY THOMAS,,00:57:33,04:40:29,03:01:07,08:47:14
12,JULIAN BEUCHERT,DEU,00:47:11,04:46:46,03:11:50,08:54:53
13,FRED LIMOUSIN,FRA,00:50:03,04:43:50,03:29:44,09:12:17
14,TOMAS MIKA,,00:50:11,05:07:07,03:10:30,09:16:20
15,MIKE SCHIFFERLE,CHE,00:55:42,04:52:55,03:18:13,09:18:05
16,ENEKO ELOSEGUI,ESP,00:57:40,04:45:27,03:26:55,09:19:25
17,ILKKA UTRIAINEN,FIN,00:53:10,05:03:29,03:16:17,09:23:46
18,SEBASTIAN PEDRAZA,,00:53:57,04:53:28,03:27:13,09:23:56
19,MARCUS HULTGREN,SWE,00:51:17,04:54:54,04:06:34,10:03:23
20,BRYAN RHODES,NZL,00:46:55,05:06:11,04:02:12,10:04:05
21,IVAN TEJERO,ESP,00:47:08,05:14:13,04:12:53,10:26:28
22,MAREK NEMCIK,,01:11:19,05:21:20,05:06:13,11:53:51
