Pos,Nome,Pais,Swim,Bike,Run,Total
1,JESSE THOMAS,USA,00:22:10,02:03:28,01:12:48,03:42:14
2,ANDY POTTS,USA,00:20:35,02:05:53,01:13:01,03:43:25
3,KIERAN ROCHE,AUS,00:20:36,02:05:43,01:15:51,03:45:48
4,MATT RUSSELL,USA,00:22:11,02:02:46,01:18:44,03:47:29
5,ERIC LIMKEMANN,USA,00:20:40,02:05:51,01:19:58,03:50:28
6,ROBBIE WADE,IRL,00:22:18,02:06:16,01:18:23,03:50:41
7,JONATHAN SHEARON,USA,00:22:16,02:08:48,01:20:59,03:56:12
8,CAMERON GOOD,AUS,00:20:38,02:12:58,01:20:35,03:58:01
9,IVAN DOMINGUEZ,USA,00:22:55,02:09:15,01:21:48,03:59:15
10,SCOTT BRADLEY,USA,00:23:58,02:08:37,01:24:20,04:01:11
11,ADAM FEIGH,USA,00:22:19,02:11:29,01:24:37,04:02:24
12,STEVE ROSINSKI,USA,00:23:13,02:11:01,01:24:54,04:03:04
13,DEREK KIDWELL,USA,00:21:39,02:10:22,01:28:33,04:04:43
14,DANIEL HARRIS,USA,00:23:18,02:13:50,01:23:13,04:05:19
15,ELLIOT BACH,USA,00:21:30,02:15:49,01:27:44,04:08:36
16,BENSON HALL,USA,00:24:08,02:13:26,01:29:11,04:11:09
17,ROBERT DUNCAN,USA,00:24:53,02:18:44,01:26:34,04:14:26
18,PETER KOTLAND,CZE,00:23:26,02:15:15,01:33:34,04:18:33
19,THOMAS GERLACH,USA,00:22:12,02:28:06,01:25:40,04:26:17
20,YORLLIRY MORENO,VEN,00:21:07,02:22:22,01:39:27,04:27:05
21,GABRIEL MANNER,RWA,00:41:53,03:13:04,03:00:55,07:06:26
