Pos,Nome,Pais,Swim,Bike,Run,Total
1,PAULO ROBERTO MACIEL DA SILVA,BRA,00:24:19,02:12:00,01:15:17,03:54:59
2,FLAVIO QUEIROGA,BRA,00:24:16,02:13:55,01:14:50,03:56:10
3,LUIZ FRANCISCO PAIVA FERREIRA,BRA,00:23:21,02:09:44,01:20:28,03:56:48
4,LUIS OHDE,BRA,00:24:32,02:10:49,01:18:14,03:57:15
5,FERNANDO TOLDI,BRA,00:24:22,02:11:47,01:18:06,03:57:51
6,SANTIAGO ASCENCO,BRA,00:26:17,02:11:50,01:18:41,04:00:08
7,ALMIR GUSTAVO SORBO MARTINS,BRA,00:23:10,02:14:36,01:21:04,04:02:18
8,IURI VINUTO JOSINO,BRA,00:24:15,02:20:38,01:14:34,04:02:43
9,BRUNO JOAQUIM,BRA,00:24:16,02:11:59,01:22:54,04:03:00
10,EDIVANIO MONTEIRO SILVA,BRA,00:24:33,02:19:10,01:19:57,04:07:17
11,FRANK SILVESTRIN SOUZA,BRA,00:24:57,02:21:37,01:18:41,04:08:54
12,CHRISTIAN CARLETTO,ARG,00:27:00,02:21:07,01:24:17,04:16:28
13,BRUNO MATHEUS,BRA,00:24:20,02:23:45,01:27:33,04:19:00
14,JUAN MANUEL LAURO,URY,00:26:55,02:22:07,01:30:00,04:24:17
15,FABIO CARVALHO,BRA,00:24:34,02:13:20,01:44:09,04:25:40
