Pos,Nome,Pais,Swim,Bike,Run,Total
1,KEVIN COLLINGTON,AUS,00:48:30,04:34:29,03:07:27,08:34:39
2,MARINO VANHOENACKER,BEL,00:51:40,04:37:49,03:12:50,08:46:40
3,SIMON COCHRANE,NZL,00:51:42,04:46:46,03:26:28,09:09:46
4,MIKOLAJ LUFT,POL,00:56:02,04:34:03,03:54:58,09:28:49
5,GUY CRAWFORD,NZL,00:51:39,04:46:47,04:03:49,09:46:54
6,ZSOMBOR DEAK,ROU,00:59:31,05:16:42,03:53:05,10:13:59
7,BALAZS CSOKE,HUN,00:48:33,05:58:22,03:40:12,10:33:35
8,CYRIL POCHON,FRA,00:56:04,05:10:13,04:28:47,10:41:09
9,YU SHINOZAKI,JPN,00:59:26,04:49:15,05:31:27,11:25:14
10,DANIEL BROWN,AUS,01:09:44,06:04:11,06:10:52,13:38:44
