Pos,Nome,Pais,Swim,Bike,Run,Total
1,DANIELA RYF,CHE,00:53:10,04:53:10,03:00:02,08:50:47
2,LUCY CHARLES,GBR,00:48:48,04:58:19,03:08:09,08:59:38
3,SARAH CROWLEY,AUS,00:53:07,04:57:51,03:05:36,09:01:38
4,HEATHER JACKSON,USA,00:57:58,04:53:54,03:06:19,09:02:29
5,KAISA SALI,FIN,00:57:53,04:59:50,03:01:33,09:04:40
6,SUSIE CHEETHAM,GBR,00:57:54,05:03:27,03:09:25,09:16:00
7,CARRIE LESTER,AUS,00:57:51,05:00:31,03:16:35,09:19:49
8,LIZ LYLES,USA,01:00:08,05:04:10,03:11:21,09:20:31
9,ANNABEL LUXFORD,AUS,00:53:02,04:59:15,03:24:06,09:20:58
10,JOCELYN MCCAULEY,USA,00:54:31,05:04:34,03:16:41,09:21:08
11,MAREEN HUFE,DEU,00:59:04,04:58:06,03:21:17,09:23:11
12,MAJA STAGE NIELSEN,DNK,01:00:10,05:08:10,03:12:51,09:25:38
13,LINSEY CORBIN,USA,01:00:07,05:07:38,03:13:10,09:26:12
14,MEL HAUSCHILDT,AUS,00:58:45,05:07:29,03:16:51,09:28:40
15,LAURA SIDDALL,GBR,00:57:55,05:02:57,03:24:17,09:29:51
16,CORINNE ABRAHAM,GBR,01:04:09,05:05:31,03:16:50,09:30:37
17,ASA LUNDSTROM,SWE,01:04:54,05:02:35,03:22:32,09:34:37
18,HALEY CHURA,USA,00:52:03,05:10:47,03:29:21,09:37:31
19,MICHAELA HERLBAUER,AUT,00:57:56,05:12:21,03:25:34,09:40:46
20,RACHEL JOYCE,GBR,00:53:15,05:07:46,03:36:14,09:42:12
21,SONJA TAJSICH,DEU,01:05:00,05:17:47,03:14:50,09:43:26
22,GURUTZE FRADES,ESP,01:04:58,05:19:03,03:15:57,09:45:51
23,CELINE SCHAERER,CHE,00:53:01,05:20:48,03:29:42,09:48:45
24,ASTRID STIENEN,DEU,01:00:10,05:16:59,03:31:48,09:53:58
25,DIMITY-LEE DUKE,AUS,01:00:18,05:12:28,03:36:41,09:54:20
26,LAUREN BRANDON,USA,00:48:53,04:58:53,04:03:26,09:56:03
27,ALEXANDRA TONDEUR,BEL,01:00:17,05:18:31,03:40:39,10:04:47
28,KATHARINA GROHMANN,DEU,01:13:50,05:06:49,03:53:55,10:19:03
