Pos,Nome,Pais,Swim,Bike,Run,Total
1,ROMAIN GUILLAUME,FRA,00:48:06,04:29:17,03:10:58,08:32:54
2,JENS PETERSEN-BACH,DNK,00:52:21,04:40:16,03:00:00,08:36:44
3,ROMAN DEISENHOFER,DEU,00:52:19,04:35:49,03:08:16,08:40:45
4,CHRISTIAN KRAMER,DEU,00:48:10,04:39:55,03:14:28,08:46:53
5,NICK BALDWIN,SYC,00:52:18,04:43:13,03:11:22,08:56:18
6,MICHAEL SMITH LARSEN,DNK,00:58:12,04:42:51,03:23:41,09:09:05
7,URS MUELLER,CHE,00:52:14,04:50:36,03:26:19,09:13:33
8,CARLOS AZNAR GALLEGO,ESP,01:01:20,05:03:24,03:07:06,09:16:46
9,YOUNG HWAN OH,KOR,01:01:46,05:02:15,03:11:37,09:19:47
10,ENEKO ELOSEGUI,ESP,01:03:17,04:57:35,03:26:42,09:32:08
11,FREDRIK CRONEBORG,SWE,00:52:17,05:22:04,03:13:15,09:32:17
12,FREDDY LAMPRET,AUT,00:55:26,05:01:06,03:40:36,09:42:28
13,JOSEF SVOBODA,CZE,01:16:42,06:37:27,05:08:48,13:12:55
14,MAREK NEMCIK,SVK,01:16:41,06:21:54,05:58:34,13:46:19
