Pos,Nome,Categ,Swim,Bike,Run,Total
18,BRENO MELO,PRO,00:27:35,02:27:01,01:19:58,04:21:25
19,GABRIEL NOGUEIRA,30-34,00:29:55,02:35:00,01:22:21,04:34:50
34,FABIO VIEIRA,35-39,00:33:45,02:28:59,01:36:25,04:47:41
16,GUSTAVO LEITE MONTEIRO,45-49,00:28:29,02:29:40,01:42:55,04:49:56
50,MARCIO MARCELINO,40-44,00:28:56,02:39:41,01:31:36,04:51:32
68,DANIEL FIGUEIREDO VILELA,40-44,00:30:16,02:37:42,01:40:42,04:56:53
63,PIERRE SILVA,30-34,00:33:12,02:30:18,01:36:34,04:57:12
72,ANDRÉ APOLLONIO,40-44,00:31:20,02:42:44,01:35:18,04:58:11
72,RAPHAEL SILVA,30-34,00:25:49,02:39:21,01:47:57,05:01:41
55,ELBER BARBOSA JR,35-39,00:33:58,02:35:32,01:39:02,05:02:09
62,RODOLFO BONIFACIO,35-39,00:34:41,02:32:49,01:46:06,05:04:03
92,GUILHERME BUENO DE MORAES,40-44,00:34:53,02:33:13,01:43:17,05:04:32
71,PAULO HENRIQUE CADORIN DE CASTRO,35-39,00:32:50,02:37:00,01:44:35,05:07:28
72,NORTHON COIMBRAO,35-39,00:36:03,02:34:55,01:46:30,05:07:40
108,PAULO LEITE,40-44,00:31:35,02:44:13,01:43:17,05:09:12
82,JOAO PAULO SOUZA,35-39,00:28:09,02:45:09,01:47:49,05:10:27
3,ELAINE TOLEDO,35-39,00:35:55,02:44:32,01:41:50,05:12:41
17,CELSO JUNIOR,18-24,00:36:35,02:41:35,01:41:56,05:14:09
105,BRUNO BRUGGEMANN,30-34,00:31:49,02:41:17,01:51:35,05:15:44
127,ANDRE DE SOUZA DANTAS VIEIRA,40-44,00:34:53,02:39:46,01:49:15,05:15:53
137,JOSÉ ALFREDO BELTRAME,40-44,00:33:21,02:35:22,01:58:54,05:19:16
61,RICARDO SCODRO DE FRANCA,25-29,00:31:23,02:46:11,01:51:54,05:20:48
144,CHARLSTON RODRIGUES,40-44,00:34:12,02:36:44,01:58:37,05:21:36
115,RAFAEL MEDEIROS,30-34,00:37:15,02:46:50,01:41:32,05:21:39
153,RICARDO COLOMBO,40-44,00:31:35,02:39:13,01:58:44,05:23:20
47,WILIAM CAVARSAN,50-54,00:33:47,02:37:08,01:58:41,05:24:10
156,DENIS POTENZA,40-44,00:31:49,02:43:48,01:57:01,05:24:12
83,ANDRE BIANCO,45-49,00:31:02,02:46:58,01:55:22,05:24:34
5,SCHIRLEI CASAS,30-34,00:34:38,02:49:59,01:51:43,05:27:55
98,RAMIRO GODINHO,45-49,00:34:19,02:45:51,01:56:10,05:29:24
Pos,Nome,Categ,Swim,Bike,Run,Total
9,PRISCILA GONCALVES,35-39,00:39:45,02:50:24,01:52:34,05:32:54
189,VINICIUS FRANCESCHI,40-44,00:33:47,02:54:55,01:54:05,05:35:09
110,FABIANO PINHEIRO GUIMARÃES,45-49,00:35:21,02:58:45,01:49:06,05:36:16
18,ANA PAULA MENDES,25-29,00:31:26,03:00:59,01:54:17,05:36:36
195,ALOISIO VIEIRA FERNANDES,40-44,00:43:07,02:54:57,01:44:10,05:36:53
63,TADEU DANTAS,50-54,00:31:36,02:45:35,02:08:42,05:37:44
65,EDUARDO SWAELEN,50-54,00:33:15,02:41:19,02:12:49,05:39:37
66,CELSO RIZZI,50-54,00:39:45,02:48:17,01:59:55,05:39:59
153,MARCELO FERREIRA,35-39,00:36:41,03:07:23,01:42:24,05:40:02
167,PEDRO LIMA VIEIRA,30-34,00:36:08,03:06:17,01:41:11,05:40:11
119,RONI SILVA,45-49,00:33:31,02:43:50,02:10:25,05:40:34
127,ROBERTO CHACON DE SOUZA,45-49,00:38:40,02:50:10,01:59:43,05:41:29
9,MARINA CALAZANS,30-34,00:37:09,02:53:24,02:01:26,05:43:19
228,OTAVIO MANGILI,40-44,00:33:34,03:05:50,01:51:14,05:45:17
148,ROBERTO MARUOKA,45-49,00:42:14,02:57:07,01:51:52,05:50:16
154,WALDYR LEITE,45-49,00:34:48,02:53:13,02:07:35,05:53:07
191,ARNALDO RUI PEREIRA JUNIOR,35-39,00:43:22,03:04:11,01:53:02,05:53:08
264,ATILA SITONIO DOMINGOS DE ANDRADE,40-44,00:34:22,03:03:10,02:05:25,05:55:38
162,ATHOS NEVES,45-49,00:35:22,03:02:01,02:03:15,05:56:45
197,EDUARDO LUZA BAUERMANN,35-39,00:41:54,02:58:39,02:05:40,05:56:57
269,ODILON SOUZA JUNIOR,40-44,00:37:17,03:02:56,02:03:24,05:58:01
168,SILAS FERNANDO DA SILVA,45-49,00:39:18,02:52:28,02:04:40,05:58:17
21,ALINE RIBAS CORREIA,30-34,00:46:15,03:06:56,01:55:04,05:59:43
205,RAFAEL GISSE,30-34,00:29:18,02:52:22,02:23:53,06:00:32
279,IVAN KONESKI,40-44,00:33:35,02:54:02,02:19:25,06:01:10
15,ANA ALENCAR,35-39,00:47:13,03:05:05,01:58:38,06:04:46
11,JOSÉ ROBERTO POTIENS,60-64,00:35:44,03:13:54,02:02:53,06:07:03
106,VAUBAN CUNHA PEREIRA PINTO CUNHA,50-54,00:33:41,02:51:47,02:24:08,06:08:04
