Pos,Nome,Categ,Swim,Bike,Run,Total
1,REINALDO COLUCCI,PRO,00:23:40,02:08:26,01:15:55,03:51:58
2,IURI VINUTO JOSINO,PRO,00:23:35,02:15:51,01:11:59,03:54:22
3,FERNANDO TOLDI,PRO,00:23:38,02:11:44,01:17:27,03:55:38
4,FLÁVIO QUEIROGA,PRO,00:23:38,02:15:45,01:17:37,04:00:06
5,PAULO ROBERTO MACIEL DA SILVA,PRO,00:23:39,02:15:55,01:17:43,04:00:19
6,LUIZ FRANCISCO PAIVA FERREIRA,PRO,00:23:44,02:13:47,01:20:09,04:00:46
1,JOSÉ BELARMINO,40-44,00:25:49,02:17:53,01:19:43,04:07:23
1,RODRIGO LOBO,35-39,00:25:37,02:22:12,01:17:55,04:10:08
8,FELIPE MANENTE,PRO,00:25:24,02:19:34,01:24:27,04:13:05
2,RAFAEL FALSARELLA,35-39,00:28:59,02:19:42,01:21:52,04:14:39
1,HUGO AMARAL HORTA BARBOSA,30-34,00:23:35,02:19:42,01:27:30,04:14:46
1,PAMELLA OLIVEIRA,PRO,00:24:49,02:23:56,01:25:46,04:18:01
2,RAFAEL SILVA,40-44,00:26:44,02:24:33,01:22:21,04:18:21
2,THIAGO ALVIM,30-34,00:27:35,02:22:17,01:24:05,04:19:29
3,BRENO NASCIMENTO,35-39,00:26:11,02:22:07,01:27:06,04:19:53
1,WILLIAM GRACA,25-29,00:28:21,02:18:53,01:28:34,04:19:54
4,RAFAEL BRANDAO,35-39,00:23:32,02:17:12,01:34:50,04:20:11
3,MARCELO BODANESE,30-34,00:26:20,02:21:46,01:27:41,04:20:36
1,RAFAEL MARGUERITO CORAZZA,18-24,00:27:47,02:29:42,01:19:28,04:21:24
6,RODRIGO SEMPREBOM,35-39,00:33:55,02:19:46,01:25:17,04:23:42
3,AZARIAS FEITOSA JUNIOR,40-44,00:28:09,02:23:49,01:28:23,04:24:30
7,SANDRO OTTOBONI,35-39,00:26:44,02:29:23,01:24:13,04:25:21
2,DIEGO DIAS,25-29,00:29:33,02:24:20,01:27:44,04:26:38
4,PEDRO BERREDO,40-44,00:28:26,02:22:01,01:30:50,04:26:41
8,MATEUS VIDIGAL,35-39,00:24:53,02:25:16,01:32:07,04:27:34
9,BRUNO AFFONSO,35-39,00:27:39,02:27:22,01:28:05,04:27:51
10,EDUARDO MALUCELLI,35-39,00:30:13,02:28:14,01:24:58,04:29:00
5,BRUNO FARIA,30-34,00:29:55,02:26:34,01:27:38,04:29:07
3,THIARLY CAVALCANTE,25-29,00:30:23,02:28:23,01:26:01,04:30:01
4,NICOLAS CAMPOS,25-29,00:27:54,02:27:23,01:32:00,04:31:39
Pos,Nome,Categ,Swim,Bike,Run,Total
1,FLÁVIO ROCHA,45-49,00:28:18,02:29:26,01:30:28,04:32:58
