Pos Categ,Nome,Categ,Sexo,Swim,Bike,Run,Total
30,IGOR AMORELLI,PRO,M,00:47:54,04:18:33,03:22:48,08:34:21
41,THIAGO VINHAL,PRO,M,00:50:32,04:56:53,02:59:15,08:52:56
18,MARCOS CALCIC,30-34,M,01:02:38,04:41:27,03:05:30,08:57:04
16,ALEXANDRE TAKENAKA,35-39,M,00:53:44,04:40:53,03:16:53,08:57:16
4,JOSE GRACA,40-44,M,00:58:43,04:36:27,03:17:15,08:58:58
24,JORGE DE AMORIM FILHO,35-39,M,00:54:58,04:33:38,03:28:11,09:03:38
29,ANTONIO FERREIRA DA SILVA NETO,35-39,M,00:54:59,04:40:28,03:26:02,09:06:41
37,HUGO AMARAL HORTA BARBOSA,30-34,M,00:51:46,04:45:31,03:26:28,09:10:21
36,SAMUEL SILVA,35-39,M,01:03:46,04:59:22,03:00:41,09:10:53
44,RODRIGO BODANESE,30-34,M,00:56:54,04:47:14,03:21:05,09:12:36
45,BRUNO MANZONI,30-34,M,01:07:09,04:39:34,03:19:11,09:13:43
56,BRUNO FARIA,30-34,M,01:04:15,04:48:10,03:17:44,09:18:49
53,THIAGO MENUCI,35-39,M,00:53:02,04:42:51,03:34:22,09:19:22
34,HENRIQUE NICCO,25-29,M,01:07:37,04:38:26,03:30:30,09:23:35
18,LEONARDO BRETTAS,45-49,M,01:03:36,04:45:19,03:27:49,09:24:11
23,PEDRO CERIZE,45-49,M,01:09:31,04:52:00,03:19:23,09:27:04
76,ANDRE DEROSSO TEIXEIRA,35-39,M,01:05:41,04:57:10,03:17:13,09:28:48
42,GUSTAVO ARAUJO SANTOS,25-29,M,00:55:44,04:50:24,03:37:43,09:30:37
61,DANIEL BARTELLE,40-44,M,01:09:43,04:44:42,03:33:57,09:36:59
105,BONIECK CLEMENTE,35-39,M,00:55:30,04:58:08,03:35:18,09:37:22
54,EDMILSON PEREIRA,25-29,M,00:53:13,04:48:12,03:51:16,09:38:47
74,GUSTAVO GENNARI,40-44,M,01:03:50,04:49:12,03:42:11,09:42:40
75,MARCOS FELIPE MENDES LOPES,40-44,M,01:00:39,04:48:53,03:44:28,09:42:41
117,JOAO ARTECHE,35-39,M,00:54:31,04:52:12,03:49:39,09:43:38
13,THOMAS CARVALHO,18-24,M,01:00:22,04:55:57,03:41:05,09:43:51
55,GUILHERME TAMEGA,45-49,M,01:02:36,04:51:26,03:43:31,09:45:06
122,ARIEL LENHARO,35-39,M,01:01:16,04:53:00,03:44:11,09:46:00
87,PAULO HENRIQUE MANZINI,40-44,M,01:04:10,04:49:40,03:46:09,09:46:30
123,GUSTAVO CEZAR,30-34,M,00:59:35,04:49:11,03:50:47,09:48:41
126,ARTHUR MARCONDES FERRAZ SILVA,35-39,M,00:53:42,04:33:53,04:14:39,09:48:45
