Pos,Nome,Pais,Swim,Bike,Run,Total
1,JENNIFER SPIELDENNER,USA,00:12:24,05:05:40,03:16:22,08:43:22
2,MICHAELA HERLBAUER,AUT,00:13:35,05:22:03,03:00:22,08:45:29
3,LISA ROBERTS,USA,00:15:54,05:10:28,03:08:37,08:46:15
4,LENNY RAMSEY,NLD,00:15:51,05:17:56,03:26:01,09:11:34
5,KATIE THOMAS,USA,00:13:21,05:11:18,03:36:35,09:12:43
6,MELANIE BAUMANN,CHE,00:18:00,05:23:31,03:30:36,09:24:05
7,OLGA KOWALSKA,POL,00:15:29,05:29:23,03:39:26,09:36:48
8,RAQUEL TORRES,DOM,00:13:20,05:48:03,03:39:02,09:51:46
9,SHELIA TRELEAVEN,CAN,00:12:36,05:53:57,04:04:16,10:28:26
10,ELIZABETH NYITRAY,USA,00:14:52,05:54:13,04:32:19,10:54:32
11,CAROLINE MARTINEAU,CAN,00:15:12,06:56:13,04:24:54,12:06:19
