Pos,Nome,Pais,Swim,Bike,Run,Total
1,HALEY CHURA,USA,--:--:--,02:20:09,01:23:16,03:45:48
2,ALICIA KAYE,USA,--:--:--,02:18:58,01:29:11,03:50:11
3,CHELSEA SODARO,USA,--:--:--,02:25:33,01:26:05,03:53:25
4,CECILIA DAVIS-HAYES,USA,--:--:--,02:18:43,01:34:21,03:55:11
5,CARLY JOHANN,USA,--:--:--,02:19:19,01:34:32,03:55:58
6,DANIELLE DINGMAN,USA,--:--:--,02:20:09,01:33:53,03:56:00
7,KYRA WIENS,USA,--:--:--,02:23:48,01:32:35,03:58:39
8,LISA BECHARAS,USA,--:--:--,02:20:07,01:37:02,03:59:12
9,NATASHA VAN DER MERWE,USA,--:--:--,02:21:55,01:35:42,03:59:51
10,LAUREN BRANDON,USA,--:--:--,02:19:11,01:40:12,04:01:32
11,KINSEY LAINE,USA,--:--:--,02:23:46,01:37:18,04:03:27
12,HOLLY BENNER,USA,--:--:--,02:22:41,01:38:15,04:03:29
13,MADDY PESCH,USA,--:--:--,02:23:43,01:38:13,04:04:15
14,AMANDA WENDORFF,USA,--:--:--,02:21:05,01:41:25,04:05:04
15,GINGER HOWELL,USA,--:--:--,02:28:25,01:38:40,04:09:20
16,RACHEL OLSON,USA,--:--:--,02:32:12,01:37:14,04:11:34
17,LIZ BAUGHER,USA,--:--:--,02:36:41,01:37:08,04:16:14
18,SIERRA SNYDER,USA,--:--:--,02:33:08,01:42:02,04:18:02
