Pos,Nome,Pais,Swim,Bike,Run,Total
1,ANDREW STARYKOWICZ,USA,--:--:--,01:58:11,01:21:38,03:21:40
2,TJ TOLLAKSON,USA,--:--:--,02:01:38,01:18:09,03:21:51
3,JOE GAMBLES,AUS,--:--:--,02:05:05,01:15:27,03:22:29
4,MATT HANSON,USA,--:--:--,02:05:51,01:15:35,03:23:21
5,STEPHEN KILSHAW,CAN,--:--:--,02:05:37,01:17:02,03:24:34
6,KRAMER LUKAS,DEU,--:--:--,02:05:56,01:17:39,03:25:30
7,TIMOTHY WINSLOW,USA,--:--:--,02:05:51,01:20:50,03:29:41
8,TIM REA,AUS,--:--:--,02:06:00,01:23:45,03:31:43
9,RODRIGO ACEVEDO VAN ARCKEN,COL,--:--:--,02:12:37,01:17:06,03:31:49
10,STEVEN ZAWASKI,USA,--:--:--,02:09:45,01:24:05,03:35:43
11,SEAN DAUGHERTY,USA,--:--:--,02:11:53,01:22:03,03:36:12
12,GUILLAUME DORÉE,FRA,--:--:--,02:12:40,01:22:04,03:36:41
13,SEAN HARRINGTON,USA,--:--:--,02:13:53,01:21:17,03:37:06
14,ELLIOT BACH,USA,--:--:--,02:10:38,01:25:30,03:38:00
15,ANTOINE FRANCOEUR,CAN,--:--:--,02:14:11,01:24:07,03:40:01
16,CORBIN HUDACEK,USA,--:--:--,02:09:35,01:28:55,03:40:37
17,JAMES COOK,CAN,--:--:--,02:12:03,01:27:11,03:40:59
18,TYSON WIELAND,USA,--:--:--,02:15:57,01:23:26,03:41:09
19,DYLAN GILLESPIE,USA,--:--:--,02:14:38,01:28:25,03:44:53
20,PAUL MATTHEWS,AUS,--:--:--,02:22:58,01:29:59,03:55:25
21,BEAU GARUFI,USA,--:--:--,02:14:09,01:38:27,03:55:26
22,JOHNATHAN LEJEUNE,USA,--:--:--,02:11:12,01:41:12,03:56:20
23,DANIEL BROWN,AUS,--:--:--,02:27:57,01:49:52,04:20:16
