Pos Categ,Nome,Categ,Sexo,Swim,Bike,Run,Total
3,PEDRO CERIZE,45-49,M,01:07:42,05:01:58,03:23:41,09:43:24
4,FLAVIO OLIVEIRA,40-44,M,01:05:06,04:57:45,03:36:47,09:50:40
1,GIUSEPPE MUSELLA,55-59,M,01:04:16,05:14:14,04:01:27,10:34:06
17,PAULO ROSSANO HOENISCH,40-44,M,01:10:43,05:38:27,03:46:31,10:48:46
14,GUSTAVO EVANGELISTA,35-39,M,01:12:34,05:35:44,03:57:16,10:57:29
4,MARIA GENNARI,40-44,M,01:16:36,05:47:55,04:00:33,11:16:59
22,EDDIE KELLER,35-39,M,01:19:43,05:28:00,04:28:31,11:28:07
38,GEOVANI E GIANE MIRANDA,35-39,M,01:15:21,05:21:35,05:07:26,12:01:28
51,NILTON LEITE,40-44,M,01:29:53,05:21:59,04:58:37,12:05:13
27,JOSE ROBERTO FERREIRA JORGE,50-54,M,01:04:54,06:00:43,04:57:18,12:20:18
59,ROGERIO PEREIRA,40-44,M,01:20:24,05:25:34,05:21:15,12:20:51
22,MURILLO ORLANDI,25-29,M,01:09:11,06:00:42,04:56:30,12:21:06
78,JOSE MARIA BASTER,45-49,M,01:20:50,06:08:24,04:32:31,12:24:55
65,LUIS OLIVALVES,40-44,M,01:28:17,06:08:39,04:33:40,12:30:06
26,BRUNO SANTARELLI,25-29,M,01:09:08,06:06:13,04:59:46,12:32:25
61,EUSTAQUIO PEREIRA,35-39,M,01:17:37,05:44:29,05:26:27,12:42:43
64,NELSON ALEXANDRE ALVARENGA,35-39,M,01:24:00,06:50:48,04:15:45,12:51:21
38,ARNALDO LAPORTE JUNIOR,50-54,M,01:08:05,05:32:29,05:49:08,12:51:43
99,JAIRO AMMIRATI,40-44,M,01:23:01,06:33:08,05:00:13,13:19:59
146,ALCIO SOUZA DINIZ JUNIOR,45-49,M,01:19:21,05:55:55,05:50:46,13:28:26
65,JAIR AVANSI,50-54,M,01:36:07,05:59:11,05:26:57,13:29:30
121,ISMAR RICARDO DE BARROS SIQUEIRA,40-44,M,01:32:14,06:13:32,05:42:29,13:53:25
123,DANIEL FERREIRA,40-44,M,01:38:28,06:28:37,05:27:28,13:54:51
189,PAULO CESAR SANTOS,45-49,M,01:35:10,06:21:53,05:44:06,14:08:23
41,FABIANA LIMA,40-44,M,01:28:11,06:21:16,06:02:18,14:12:09
143,JORGE MIRA,40-44,M,01:27:13,07:01:19,05:18:43,14:12:49
53,SILVANA VIEIRA,45-49,M,01:22:35,07:09:23,06:01:09,14:54:06
143,HUGO VASCONCELOS,35-39,M,01:20:34,07:00:09,06:47:14,15:31:57
256,FREDERICO CHAGAS DE OLIVEIRA,45-49,M,01:56:32,07:15:56,05:48:23,15:34:27
277,CESAR SUZUKI,45-49,M,01:55:00,07:24:54,06:28:30,16:04:35
